Year,2022,2021,2020,2019,2018,2017
Revenue,-92.73,140.84,64.06,-5.37,-49.6,35.1
Revenue Growth (YoY),-,119.85%,-,-,-,-
Gross Profit,-92.73,140.84,64.06,-5.37,-49.6,35.1
General & Administrative,7.23,6.83,3.18,3.33,5.46,3.2
Other Operating Expenses,1.85,2.15,-0.01,-0.01,-0.21,0.76
Operating Expenses,9.08,8.98,3.17,3.32,5.25,3.96
Operating Income,-87.68,146.32,71.39,4.77,-40.05,44.06
Interest Income,111.04,81.88,58.54,61.59,65.2,60.92
Interest Expense,14.13,14.47,10.5,13.46,14.8,12.93
Other Expense / Income,111.04,81.88,58.54,61.59,65.2,60.92
Pretax Income,-101.81,131.86,60.89,-8.69,-54.85,31.13
Net Income,-101.81,131.86,60.89,-8.69,-54.85,31.13
Net Income Growth,-,116.56%,-,-,-,-
Shares Outstanding (Basic),33,33,37,29,24,18
Shares Outstanding (Diluted),33,33,37,29,24,18
Shares Change,-,-9.41%,28.88%,18.50%,36.60%,-
EPS (Basic),-3.05,3.94,1.65,-0.30,-2.27,1.76
EPS (Diluted),-3.05,3.94,1.65,-0.30,-2.27,1.76
EPS Growth,-,138.79%,-,-,-,-
Free Cash Flow Per Share,-2.24,-3.43,0.03,0.94,-1.90,-1.64
Gross Margin,-,100.00%,100.00%,-,-,100.00%
Operating Margin,-,103.89%,111.43%,-,-,125.54%
Profit Margin,-,93.62%,95.05%,-,-,88.70%
Free Cash Flow Margin,-,-81.45%,1.91%,-,-,-82.70%
EBITDA,-87.68,146.32,71.39,4.77,-40.05,44.06
EBITDA Margin,-,103.89%,111.43%,-,-,125.54%
