Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Revenue,20.1,7.6,-17.16,5.6,1.21,38.15,32.26,27.13,18.97,5.09,Upgrade
Revenue Growth (YoY),164.58%,-,-,363.33%,-96.83%,18.27%,18.89%,43.05%,272.52%,1318.11%,Upgrade
Cost of Revenue,7.48,4.34,0,0,0,15.9,16.37,9.94,3.61,2.93,Upgrade
Gross Profit,12.61,3.26,-17.16,5.6,1.21,22.25,15.88,17.19,15.35,2.16,Upgrade
"Selling, General & Admin",11.52,10.59,5.97,2.48,1.15,20.38,15.41,13.82,9.62,3.31,Upgrade
Other Operating Expenses,0,0,0,0,1.61,0,0,5.42,0,0,Upgrade
Operating Expenses,11.52,10.59,5.97,2.48,2.76,20.38,15.41,19.25,9.62,3.31,Upgrade
Operating Income,1.09,-7.33,-23.12,3.12,-1.55,1.86,0.47,-2.05,5.73,-1.14,Upgrade
Other Expense / Income,-,1.18,-,2.07,-2.05,0.37,0.36,0.28,-,-,Upgrade
Pretax Income,1.09,-8.51,-23.12,1.05,0.5,1.49,0.12,-2.34,5.73,-1.14,Upgrade
Income Tax,0,0,-0.67,0.74,-0.31,1.2,0.11,-0.66,2.08,-0.4,Upgrade
Net Income,1.09,-8.51,-22.46,0.31,0.8,0.29,0.01,-1.67,3.65,-0.75,Upgrade
Preferred Dividends,1.79,1.69,1.4,1.4,1.11,0,0,0,0.5,0,Upgrade
Net Income Common,-0.7,-10.21,-23.86,-1.09,-0.3,0.29,0.01,-1.67,3.15,-0.75,Upgrade
Net Income Growth,-,-,-,-,-,2572.73%,-,-,-,-,Upgrade
Shares Outstanding (Basic),8,5,6,6,6,6,6,6,4,1,Upgrade
Shares Outstanding (Diluted),8,5,6,6,6,6,6,6,4,1,Upgrade
Shares Change,54.05%,-9.28%,-4.52%,0.48%,0.33%,-1.29%,-3.80%,41.15%,345.40%,-,Upgrade
EPS (Basic),-0.09,-1.96,-4.15,-0.18,-0.05,0.05,-,-0.27,0.71,-0.75,Upgrade
EPS (Diluted),-0.09,-1.96,-4.15,-0.18,-0.05,0.05,-,-0.27,0.71,-0.75,Upgrade
Free Cash Flow Per Share,-1.38,-2.77,-1.97,-3.43,4.14,1.26,0.54,0.85,2.85,6.71,Upgrade
Gross Margin,62.76%,42.88%,-,100.00%,100.00%,58.32%,49.24%,63.37%,80.95%,42.49%,Upgrade
Operating Margin,5.41%,-96.55%,-,55.76%,-128.23%,4.89%,1.47%,-7.57%,30.21%,-22.47%,Upgrade
Profit Margin,-3.49%,-134.38%,-,-19.46%,-25.17%,0.77%,0.03%,-6.17%,16.59%,-14.69%,Upgrade
Free Cash Flow Margin,-55.25%,-189.86%,-,-368.79%,2052.48%,19.66%,10.20%,19.79%,66.87%,131.78%,Upgrade
Effective Tax Rate,-,-,-,70.35%,-62.10%,80.29%,90.76%,-,36.36%,-,Upgrade
EBITDA,1.09,-8.51,-23.12,1.05,0.5,1.57,0.19,-2.28,5.76,-1.13,Upgrade
EBITDA Margin,5.41%,-112.10%,-,18.74%,41.06%,4.10%,0.58%,-8.42%,30.35%,-22.27%,Upgrade
Depreciation & Amortization,0,0,0,0,0,0.07,0.07,0.05,0.03,0.01,Upgrade
EBIT,1.09,-8.51,-23.12,1.05,0.5,1.49,0.12,-2.34,5.73,-1.14,Upgrade
EBIT Margin,5.41%,-112.10%,-,18.74%,41.06%,3.91%,0.37%,-8.61%,30.21%,-22.47%,Upgrade
