Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,"1,697.99","1,179.25",983.63,"1,003.59",818.12,797.22,816.33,794.63,775.17,705.6,Upgrade
Revenue Growth (YoY),43.99%,19.89%,-1.99%,22.67%,2.62%,-2.34%,2.73%,2.51%,9.86%,6.78%,Upgrade
Cost of Revenue,514.38,456.6,442.88,413.42,428.19,401.58,349.78,299.05,296.61,259.8,Upgrade
Gross Profit,"1,183.62",722.64,540.74,590.18,389.93,395.64,466.55,495.59,478.56,445.8,Upgrade
"Selling, General & Admin",464.74,407.71,363.53,370.81,330.97,320.85,312.88,302.4,293.97,272.95,Upgrade
Operating Expenses,464.74,407.71,363.53,370.81,330.97,320.85,312.88,302.4,293.97,272.95,Upgrade
Operating Income,718.87,314.94,177.21,219.36,58.96,74.79,153.68,193.19,184.59,172.85,Upgrade
Interest Expense / Income,8.05,7.68,7.6,7.59,7.44,7.43,7.43,7.43,7.44,8.1,Upgrade
Other Expense / Income,-9.85,-37.06,-20.23,-20.96,-16.06,-17.22,-10.83,-10.91,-12.34,-10.92,Upgrade
Pretax Income,720.68,344.32,189.84,232.73,67.58,84.59,157.08,196.68,189.49,175.67,Upgrade
Income Tax,137.27,64.97,32.75,41.09,3.4,-20.44,42.16,59.14,54.04,49.41,Upgrade
Net Income,583.41,279.35,157.09,191.64,64.18,105.03,114.92,137.54,135.45,126.26,Upgrade
Net Income Growth,108.84%,77.83%,-18.03%,198.61%,-38.89%,-8.61%,-16.45%,1.55%,7.28%,22.17%,Upgrade
Shares Outstanding (Basic),45,45,45,45,44,44,44,43,43,43,Upgrade
Shares Outstanding (Diluted),46,46,45,45,45,45,44,44,44,44,Upgrade
Shares Change,0.18%,0.74%,0.26%,0.94%,0.75%,0.15%,0.68%,0.71%,0.70%,0.82%,Upgrade
EPS (Basic),12.86,6.18,3.49,4.28,1.45,2.39,2.63,3.18,3.15,2.95,Upgrade
EPS (Diluted),12.74,6.11,3.46,4.23,1.43,2.36,2.59,3.12,3.09,2.90,Upgrade
EPS Growth,108.51%,76.59%,-18.20%,195.80%,-39.41%,-8.88%,-16.99%,0.97%,6.55%,21.34%,Upgrade
Free Cash Flow Per Share,5.40,8.33,5.72,6.04,4.76,4.28,3.65,3.29,2.70,2.78,Upgrade
Dividend Per Share,8.030,2.990,1.950,1.910,1.870,2.580,2.790,2.750,0.710,2.170,Upgrade
Dividend Growth,168.56%,53.33%,2.09%,2.14%,-27.52%,-7.53%,1.45%,287.32%,-67.28%,-30.67%,Upgrade
Gross Margin,69.71%,61.28%,54.97%,58.81%,47.66%,49.63%,57.15%,62.37%,61.74%,63.18%,Upgrade
Operating Margin,42.34%,26.71%,18.02%,21.86%,7.21%,9.38%,18.83%,24.31%,23.81%,24.50%,Upgrade
Profit Margin,34.36%,23.69%,15.97%,19.10%,7.84%,13.17%,14.08%,17.31%,17.47%,17.89%,Upgrade
Free Cash Flow Margin,14.42%,31.94%,26.18%,26.90%,25.81%,23.63%,19.60%,17.95%,15.00%,16.85%,Upgrade
Effective Tax Rate,19.05%,18.87%,17.25%,17.66%,5.03%,-24.16%,26.84%,30.07%,28.52%,28.13%,Upgrade
EBITDA,736.71,359.39,204.88,248.49,82.06,98.96,170.94,209.51,201.48,187.53,Upgrade
EBITDA Margin,43.39%,30.48%,20.83%,24.76%,10.03%,12.41%,20.94%,26.37%,25.99%,26.58%,Upgrade
Depreciation & Amortization,7.98,7.39,7.43,8.16,7.04,6.94,6.43,5.41,4.56,3.77,Upgrade
EBIT,728.73,352,197.44,240.32,75.02,92.02,164.51,204.11,196.93,183.76,Upgrade
EBIT Margin,42.92%,29.85%,20.07%,23.95%,9.17%,11.54%,20.15%,25.69%,25.40%,26.04%,Upgrade
