Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Revenue,78.66,72.59,54.76,44.21,41.54,36.56,33.35,27.6,25.51,23.99,Upgrade
Revenue Growth (YoY),8.36%,32.56%,23.86%,6.43%,13.62%,9.64%,20.81%,8.19%,6.37%,39.20%,Upgrade
Gross Profit,78.66,72.59,54.76,44.21,41.54,36.56,33.35,27.6,25.51,23.99,Upgrade
"Selling, General & Admin",53.54,47.3,35.6,28.23,27.96,25.19,22.18,19.38,17.99,16.72,Upgrade
Other Operating Expenses,8.77,7.11,5.87,4.89,4.9,4.59,5.71,13.67,4.12,4.53,Upgrade
Operating Expenses,62.31,54.41,41.46,33.12,32.86,29.78,27.9,33.05,22.11,21.25,Upgrade
Operating Income,16.34,18.17,13.29,11.09,8.68,6.78,5.45,-5.44,3.41,2.74,Upgrade
Other Expense / Income,-2.15,-0.44,-,-,-,-,-,-,-,-,Upgrade
Pretax Income,18.49,18.61,13.29,11.09,8.68,6.78,5.45,-5.44,3.41,2.74,Upgrade
Income Tax,2.85,3.19,2.95,2.08,1.58,1.66,1.46,-0.35,0.74,0.42,Upgrade
Net Income,15.65,15.42,10.34,9.01,7.11,5.12,3.99,-5.09,2.67,2.32,Upgrade
Net Income Growth,1.47%,49.11%,14.71%,26.87%,38.82%,28.21%,-,-,15.10%,-,Upgrade
Shares Outstanding (Basic),10,10,10,11,11,12,13,13,13,-,Upgrade
Shares Change,-0.77%,-2.03%,-4.66%,-5.22%,-6.23%,-6.83%,-1.05%,-,-,-,Upgrade
EPS (Basic),1.71,1.63,1.07,0.92,0.69,0.46,0.33,-0.42,-,-,Upgrade
EPS (Diluted),1.71,1.63,1.07,0.91,0.68,0.46,0.33,-0.42,-,-,Upgrade
EPS Growth,4.91%,52.34%,17.58%,33.82%,47.83%,39.39%,-,-,-,-,Upgrade
Free Cash Flow Per Share,1.30,0.91,1.12,1.27,0.93,0.01,0.66,-0.19,0.12,-,Upgrade
Dividend Per Share,0.280,0.250,0.210,0.130,0.030,-,-,-,-,-,Upgrade
Dividend Growth,12.00%,19.05%,61.54%,333.33%,-,-,-,-,-,-,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,20.78%,25.04%,24.28%,25.09%,20.90%,18.55%,16.34%,-19.72%,13.36%,11.42%,Upgrade
Profit Margin,19.89%,21.24%,18.88%,20.39%,17.11%,14.00%,11.97%,-18.44%,10.46%,9.66%,Upgrade
Free Cash Flow Margin,16.51%,12.59%,20.89%,30.92%,25.27%,0.49%,25.56%,-8.84%,6.35%,42.69%,Upgrade
Effective Tax Rate,15.40%,17.16%,22.22%,18.73%,18.15%,24.51%,26.74%,-,21.71%,15.40%,Upgrade
EBITDA,20.55,20.05,14.67,12.68,10.26,8.25,6.83,-4.2,4.86,4.69,Upgrade
EBITDA Margin,26.12%,27.62%,26.79%,28.68%,24.70%,22.57%,20.48%,-15.20%,19.05%,19.53%,Upgrade
Depreciation & Amortization,2.05,1.44,1.38,1.59,1.58,1.47,1.38,1.25,1.45,1.95,Upgrade
EBIT,18.49,18.61,13.29,11.09,8.68,6.78,5.45,-5.44,3.41,2.74,Upgrade
EBIT Margin,23.51%,25.64%,24.28%,25.09%,20.90%,18.55%,16.34%,-19.72%,13.36%,11.42%,Upgrade
