Year,2022,2021,2020,2019,2018
Revenue,408.1,465.46,339.89,296.72,172.2
Revenue Growth (YoY),-12.32%,36.94%,14.55%,72.31%,-
Gross Profit,408.1,465.46,339.89,296.72,172.2
"Selling, General & Admin",229.35,223,124.25,113.29,90.76
Operating Expenses,229.35,223,124.25,113.29,90.76
Operating Income,178.75,242.46,215.65,183.43,81.45
Interest Expense / Income,19.07,13.13,13.1,12.48,12.47
Other Expense / Income,-112.15,-28.51,-11.1,-16.9,-8.66
Pretax Income,271.83,257.84,213.65,187.86,77.64
Income Tax,52.41,49.23,43.45,36.48,21.02
Net Income,219.42,208.62,170.2,151.37,56.61
Net Income Growth,5.18%,22.57%,12.44%,167.38%,-
Shares Outstanding (Basic),57,57,56,56,-
Shares Change,-,2.48%,-,-,-
EPS (Basic),3.89,3.77,19.60,17.41,6.54
EPS (Diluted),3.84,3.77,19.60,17.41,6.54
EPS Growth,1.86%,-80.77%,12.58%,166.21%,-
Free Cash Flow Per Share,2.90,6.03,4.03,2.82,-
Dividend Per Share,0.740,0.460,-,-,-
Dividend Growth,60.87%,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,43.80%,52.09%,63.45%,61.82%,47.30%
Profit Margin,53.77%,44.82%,50.07%,51.02%,32.88%
Free Cash Flow Margin,40.41%,73.65%,65.77%,52.76%,51.48%
Effective Tax Rate,19.28%,19.09%,20.34%,19.42%,27.08%
EBITDA,306.68,284.7,239.97,216.85,107.63
EBITDA Margin,75.15%,61.17%,70.60%,73.08%,62.50%
Depreciation & Amortization,15.79,13.73,13.23,16.52,17.52
EBIT,290.9,270.97,226.74,200.33,90.11
EBIT Margin,71.28%,58.22%,66.71%,67.52%,52.33%
