Year,2022,2021,2020
Revenue,34.65,17.6,13.14
Revenue Growth (YoY),96.92%,33.88%,-
Gross Profit,34.65,17.6,13.14
"Selling, General & Admin",18.34,7.91,4.99
Other Operating Expenses,9.49,9.59,3.32
Operating Expenses,27.83,17.5,8.31
Operating Income,6.82,0.1,4.84
Pretax Income,6.82,0.1,4.84
Income Tax,1.22,-0.19,0.65
Net Income,5.6,0.29,4.19
Net Income Growth,1837.02%,-93.11%,-
Shares Outstanding (Basic),11,7,6
Shares Outstanding (Diluted),11,7,6
Shares Change,56.00%,27.39%,-
EPS (Basic),0.49,0.04,0.74
EPS (Diluted),0.49,0.04,0.74
EPS Growth,1125.00%,-94.59%,-
Free Cash Flow Per Share,-0.20,0.68,0.53
Gross Margin,100.00%,100.00%,100.00%
Operating Margin,19.68%,0.57%,36.81%
Profit Margin,16.15%,1.64%,31.90%
Free Cash Flow Margin,-6.50%,26.40%,22.97%
Effective Tax Rate,17.92%,-189.00%,13.33%
EBITDA,7.93,0.58,5.15
EBITDA Margin,22.88%,3.30%,39.16%
Depreciation & Amortization,1.11,0.48,0.31
EBIT,6.82,0.1,4.84
EBIT Margin,19.68%,0.57%,36.81%
