Year,2022,2021,2020,2019,2018,2017,2016
Revenue,32.3,96.08,21.07,0,0,0,3.71
Revenue Growth (YoY),-66.39%,356.10%,-,-,-,-,-
Cost of Revenue,20.37,30.74,14.1,0,0,0,0
Gross Profit,11.92,65.34,6.96,0,0,0,3.71
"Selling, General & Admin",23.11,39.15,2.52,1.99,1.89,0.49,3.07
Research & Development,0,0,0,0,0,0,0.42
Other Operating Expenses,95.97,20.29,2.89,0,0,0,0
Operating Expenses,119.09,59.45,5.4,1.99,1.89,0.49,3.49
Operating Income,-107.17,5.89,1.56,-1.99,-1.89,-0.49,0.22
Other Expense / Income,-1.28,3.04,3.84,7.68,1.65,0.45,0
Pretax Income,-105.89,2.85,-2.28,-9.68,-3.54,-0.94,0.22
Income Tax,-0.59,3.86,0,0,0,0,0.05
Net Income,-105.3,-1.01,-2.28,-9.68,-3.54,-0.94,0.16
Shares Outstanding (Basic),79,55,31,15,14,7,0
Shares Outstanding (Diluted),79,55,31,15,14,7,0
Shares Change,41.80%,81.23%,101.29%,5.60%,111.18%,26112.05%,-
EPS (Basic),-1.34,-0.02,-0.07,-0.62,-0.24,-0.14,6.19
EPS (Diluted),-1.34,-0.02,-0.07,-0.62,-0.24,-0.14,6.19
Free Cash Flow Per Share,-0.34,-1.16,-0.18,-0.10,-0.35,-0.28,-46.20
Gross Margin,36.91%,68.01%,33.04%,-,-,-,100.00%
Operating Margin,-331.82%,6.13%,7.39%,-,-,-,5.85%
Profit Margin,-326.03%,-1.05%,-10.82%,-,-,-,4.34%
Free Cash Flow Margin,-82.82%,-66.81%,-26.00%,-,-,-,-32.41%
Effective Tax Rate,-,135.48%,-,-,-,-,25.45%
EBITDA,-78.06,15.96,1.05,-9.68,-3.54,-0.94,0.25
EBITDA Margin,-241.70%,16.61%,4.96%,-,-,-,6.88%
Depreciation & Amortization,27.83,13.11,3.32,0,0,0,0.04
EBIT,-105.89,2.85,-2.28,-9.68,-3.54,-0.94,0.22
EBIT Margin,-327.87%,2.96%,-10.82%,-,-,-,5.82%
