Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Revenue,"2,364.81","2,811.49","3,239.33","1,517.49","1,878.72","1,027.98",702.27,796.21,723.05,664.51,Upgrade
Revenue Growth (YoY),-15.89%,-13.21%,113.47%,-19.23%,82.76%,46.38%,-11.80%,10.12%,8.81%,7.94%,Upgrade
Cost of Revenue,838.67,957.42,972.59,596.28,552.54,388.43,292.22,301.12,299.81,259.84,Upgrade
Gross Profit,"1,526.14","1,854.06","2,266.74",921.21,"1,326.17",639.55,410.06,495.1,423.24,404.67,Upgrade
"Selling, General & Admin",477.02,464.43,488.09,487.36,282.33,239.61,108.65,114.02,106.45,105.57,Upgrade
Other Operating Expenses,139.32,166.47,153.54,228.81,122.15,120.21,31.35,83.47,45.25,31.64,Upgrade
Operating Expenses,616.34,630.9,641.64,716.16,404.47,359.83,140,197.49,151.71,137.21,Upgrade
Operating Income,909.8,"1,223.17","1,625.1",205.05,921.7,279.72,270.05,297.61,271.54,267.46,Upgrade
Interest Expense / Income,323.1,219.67,213.38,279.9,213.61,156.1,84.88,81.68,77.98,69.84,Upgrade
Other Expense / Income,233.22,356.95,500.6,-3.98,342.48,26.42,130.94,176.6,-,10.02,Upgrade
Pretax Income,353.49,646.55,911.12,-70.87,365.61,97.21,54.23,39.33,193.56,187.6,Upgrade
Income Tax,88.47,169.67,261.92,-12.28,76.17,94.27,21.25,18.44,3.5,5.4,Upgrade
Net Income,265.03,476.88,649.2,-58.6,289.44,2.94,32.98,20.89,190.06,182.2,Upgrade
Net Income Growth,-44.42%,-26.54%,-,-,9748.28%,-91.09%,57.90%,-89.01%,4.31%,108.09%,Upgrade
Shares Outstanding (Basic),104,117,122,114,101,63,39,35,137,-,Upgrade
Shares Outstanding (Diluted),104,118,122,114,102,63,39,35,-,-,Upgrade
Shares Change,-11.82%,-3.19%,7.39%,11.59%,63.14%,62.38%,9.05%,-74.11%,-,-,Upgrade
EPS (Basic),2.45,3.95,5.19,-0.53,2.82,0.03,0.83,0.60,-,-,Upgrade
EPS (Diluted),2.44,3.91,5.16,-0.53,2.78,0.03,0.83,0.59,-,-,Upgrade
EPS Growth,-37.60%,-24.22%,-,-,9166.67%,-96.39%,40.68%,-,-,-,Upgrade
Free Cash Flow Per Share,6.17,9.47,8.22,0.97,6.61,4.12,5.69,6.75,1.73,-,Upgrade
Dividend Per Share,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.480,-,-,Upgrade
Dividend Growth,0%,0%,0%,0%,0%,0%,100.00%,-,-,-,Upgrade
Gross Margin,64.54%,65.95%,69.98%,60.71%,70.59%,62.21%,58.39%,62.18%,58.54%,60.90%,Upgrade
Operating Margin,38.47%,43.51%,50.17%,13.51%,49.06%,27.21%,38.45%,37.38%,37.55%,40.25%,Upgrade
Profit Margin,11.21%,16.96%,20.04%,-3.86%,15.41%,0.29%,4.70%,2.62%,26.29%,27.42%,Upgrade
Free Cash Flow Margin,27.15%,39.54%,30.89%,7.31%,35.48%,25.05%,31.23%,29.64%,32.71%,34.21%,Upgrade
Effective Tax Rate,25.03%,26.24%,28.75%,-,20.83%,96.98%,39.19%,46.89%,1.81%,2.88%,Upgrade
EBITDA,742.96,934.04,"1,191.25",274.67,640.38,300.63,168.82,154.63,301.98,281.36,Upgrade
EBITDA Margin,31.42%,33.22%,36.77%,18.10%,34.09%,29.24%,24.04%,19.42%,41.76%,42.34%,Upgrade
Depreciation & Amortization,66.38,67.82,66.74,65.64,61.15,47.33,29.7,33.63,30.44,23.92,Upgrade
EBIT,676.59,866.22,"1,124.51",209.03,579.23,253.31,139.12,121,271.54,257.44,Upgrade
EBIT Margin,28.61%,30.81%,34.71%,13.77%,30.83%,24.64%,19.81%,15.20%,37.55%,38.74%,Upgrade
