Year,2022,2021,2020,2019,2018,2017,2016
Revenue,8.81,8.27,7.25,7.87,7.59,7.41,7.02
Revenue Growth (YoY),6.54%,14.11%,-7.86%,3.68%,2.43%,5.57%,-
Gross Profit,8.81,8.27,7.25,7.87,7.59,7.41,7.02
"Selling, General & Admin",5.34,5.26,4.63,5.16,4.56,4.09,3.82
Other Operating Expenses,1.46,1.34,1.35,1.56,1.29,1.16,1.55
Operating Expenses,6.8,6.6,5.99,6.72,5.85,5.25,5.37
Operating Income,2.01,1.68,1.26,1.15,1.74,2.16,1.65
Other Expense / Income,0.04,-,0.04,0.1,0.03,-,-
Pretax Income,1.97,1.68,1.23,1.05,1.71,2.16,1.65
Income Tax,0.09,0.07,0.04,0.09,0.3,0.98,0.51
Net Income,1.88,1.61,1.19,0.96,1.41,1.17,1.14
Net Income Growth,16.98%,35.01%,24.06%,-32.06%,20.46%,3.08%,-
Shares Outstanding (Basic),3,3,3,4,4,4,-
Shares Change,-4.90%,-4.96%,-10.12%,-1.07%,-0.01%,-,-
EPS (Basic),0.69,0.55,0.38,0.29,0.41,0.34,0.33
EPS (Diluted),0.69,0.55,0.38,0.29,0.41,0.34,0.33
EPS Growth,25.45%,44.74%,31.03%,-29.27%,20.59%,3.66%,-
Free Cash Flow Per Share,0.73,0.74,0.54,0.43,0.69,0.37,-
Dividend Per Share,0.180,0.130,0.080,0.080,0.020,0.026,-
Dividend Growth,38.46%,62.50%,0%,300.00%,-23.08%,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,22.80%,20.25%,17.43%,14.61%,22.92%,29.09%,23.45%
Profit Margin,21.35%,19.44%,16.43%,12.20%,18.62%,15.84%,16.22%
Free Cash Flow Margin,23.92%,26.97%,23.66%,19.11%,32.67%,17.71%,22.05%
Effective Tax Rate,4.61%,4.00%,2.85%,8.13%,17.27%,45.57%,30.82%
EBITDA,2.16,1.85,1.38,1.19,1.83,2.29,1.8
EBITDA Margin,24.52%,22.31%,19.07%,15.10%,24.15%,30.97%,25.60%
Depreciation & Amortization,0.19,0.17,0.16,0.14,0.12,0.14,0.15
EBIT,1.97,1.68,1.23,1.05,1.71,2.16,1.65
EBIT Margin,22.38%,20.25%,16.92%,13.29%,22.51%,29.09%,23.45%
