Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Revenue,"1,187.22",818.63,318.08,758.61,694.81,574.54,500.81,429.94,211.13,98,Upgrade
Revenue Growth (YoY),45.02%,157.36%,-58.07%,9.18%,20.93%,14.72%,16.48%,103.64%,115.43%,520.38%,Upgrade
Cost of Revenue,0,0,0,0,99.38,86.89,74.76,61.34,37.33,17.98,Upgrade
Gross Profit,"1,187.22",818.63,318.08,758.61,595.44,487.65,426.05,368.61,173.8,80.02,Upgrade
"Selling, General & Admin",559.12,468.78,331.91,598.33,497.16,421.55,423.84,293.71,166.79,57.19,Upgrade
Research & Development,0,0,0,0,155.26,142.26,115.36,77.06,38.52,15.53,Upgrade
Other Operating Expenses,475.06,331.41,173.8,191.17,71.13,77.25,37.05,0,0,0,Upgrade
Operating Expenses,"1,034.18",800.19,505.7,789.5,723.55,641.06,576.25,370.77,205.31,72.72,Upgrade
Operating Income,153.04,18.44,-187.62,-30.89,-128.11,-153.41,-150.2,-2.16,-31.5,7.31,Upgrade
Other Expense / Income,-,-,-,0.06,0.16,-0.21,-,-,-,-,Upgrade
Pretax Income,153.04,18.44,-187.62,-30.95,-128.27,-153.2,-150.2,-2.16,-31.5,7.31,Upgrade
Income Tax,-136.65,-0.14,-0.08,-0.2,0.04,0.63,-4.23,2.83,1.39,0,Upgrade
Net Income,289.69,18.58,-187.54,-30.75,-128.31,-153.84,-145.97,-5,-32.89,7.31,Upgrade
Net Income Growth,1459.12%,-,-,-,-,-,-,-,-,-,Upgrade
Shares Outstanding (Basic),104,97,78,87,85,82,78,75,15,10,Upgrade
Shares Outstanding (Diluted),104,102,78,87,85,82,78,75,15,16,Upgrade
Shares Change,1.81%,31.07%,-10.71%,3.19%,3.40%,5.48%,3.44%,396.03%,-7.19%,131.82%,Upgrade
EPS (Basic),2.80,0.19,-2.07,-0.35,-1.52,-1.88,-1.90,-0.05,-2.20,-,Upgrade
EPS (Diluted),2.79,0.18,-2.07,-0.35,-1.52,-1.88,-1.90,-0.05,-2.20,-,Upgrade
EPS Growth,1450.00%,-,-,-,-,-,-,-,-,-,Upgrade
Free Cash Flow Per Share,2.96,2.11,4.96,-3.68,-8.19,-7.55,-0.66,0.47,1.94,-0.90,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,85.70%,84.88%,85.07%,85.73%,82.32%,81.66%,Upgrade
Operating Margin,12.89%,2.25%,-58.98%,-4.07%,-18.44%,-26.70%,-29.99%,-0.50%,-14.92%,7.46%,Upgrade
Profit Margin,24.40%,2.27%,-58.96%,-4.05%,-18.47%,-26.78%,-29.15%,-1.16%,-15.58%,7.46%,Upgrade
Free Cash Flow Margin,25.78%,25.10%,121.63%,-42.36%,-99.70%,-107.56%,-10.24%,8.22%,13.90%,-9.49%,Upgrade
Effective Tax Rate,-89.29%,-0.74%,-,-,-,-,-,-,-,-,Upgrade
EBITDA,196.87,62.73,-133.59,31.21,-73.5,-107,-120.32,19.42,-21.25,8.97,Upgrade
EBITDA Margin,16.58%,7.66%,-42.00%,4.11%,-10.58%,-18.62%,-24.02%,4.52%,-10.06%,9.15%,Upgrade
Depreciation & Amortization,43.83,44.29,54.03,62.15,54.76,46.21,29.88,21.58,10.26,1.66,Upgrade
EBIT,153.04,18.44,-187.62,-30.95,-128.27,-153.2,-150.2,-2.16,-31.5,7.31,Upgrade
EBIT Margin,12.89%,2.25%,-58.98%,-4.08%,-18.46%,-26.67%,-29.99%,-0.50%,-14.92%,7.46%,Upgrade
