Year,2022,2021,2020,2019,2018,2017,2016,2015
Revenue,129.16,121.83,99.82,94.58,81.97,71.06,63.22,57.07
Revenue Growth (YoY),6.02%,22.05%,5.54%,15.39%,15.35%,12.41%,10.78%,-
Gross Profit,129.16,121.83,99.82,94.58,81.97,71.06,63.22,57.07
"Selling, General & Admin",58.61,53.29,47.41,45.74,40.52,34.48,32.48,28.94
Other Operating Expenses,21.3,19.99,19.11,16.78,16.25,13.9,13.9,13.66
Operating Expenses,79.91,73.28,66.52,62.53,56.77,48.38,46.38,42.59
Operating Income,49.26,48.56,33.3,32.06,25.2,22.68,16.84,14.47
Other Expense / Income,-0.02,-,-,-,-,-,-,-
Pretax Income,49.28,48.56,33.3,32.06,25.2,22.68,16.84,14.47
Income Tax,8.83,8.75,5.9,5.78,4.6,8.24,4.72,4.36
Net Income,40.45,39.81,27.4,26.28,20.6,14.44,12.12,10.11
Net Income Growth,1.61%,45.27%,4.27%,27.59%,42.64%,19.12%,19.88%,-
Shares Outstanding (Basic),12,12,11,12,12,11,11,-
Shares Change,-1.22%,10.15%,-4.84%,-3.00%,7.51%,0.05%,-,-
EPS (Basic),3.38,3.30,2.25,2.05,1.78,1.41,1.35,1.15
EPS (Diluted),3.34,3.26,2.24,2.05,1.77,1.40,1.35,1.15
EPS Growth,2.45%,45.54%,9.27%,15.82%,26.43%,3.70%,17.39%,-
Free Cash Flow Per Share,2.93,3.46,3.42,2.39,2.44,2.68,2.12,-
Dividend Per Share,0.880,0.800,0.780,0.700,0.600,0.400,-,-
Dividend Growth,10.00%,2.56%,11.43%,16.67%,50.00%,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,38.14%,39.85%,33.36%,33.89%,30.74%,31.91%,26.63%,25.36%
Profit Margin,31.31%,32.67%,27.45%,27.78%,25.13%,20.32%,19.17%,17.72%
Free Cash Flow Margin,27.11%,34.35%,37.55%,29.19%,35.44%,41.69%,37.05%,9.62%
Effective Tax Rate,17.93%,18.02%,17.70%,18.02%,18.25%,36.33%,28.01%,30.14%
EBITDA,54.22,54.07,38.76,37.32,29.82,26.87,21,18.38
EBITDA Margin,41.97%,44.38%,38.83%,39.46%,36.38%,37.82%,33.22%,32.21%
Depreciation & Amortization,4.94,5.51,5.47,5.26,4.63,4.2,4.16,3.91
EBIT,49.28,48.56,33.3,32.06,25.2,22.68,16.84,14.47
EBIT Margin,38.15%,39.85%,33.36%,33.89%,30.74%,31.91%,26.63%,25.36%
