Year,2022,2021,2020
"Selling, General & Admin",2.16,0.97,0.26
Operating Expenses,2.16,0.97,0.26
Operating Income,-2.16,-0.97,-0.26
Other Expense / Income,-10.64,-16.74,6.21
Pretax Income,8.48,15.77,-6.46
Net Income,8.48,15.77,-6.46
Net Income Growth,-46.21%,-,-
Shares Outstanding (Basic),33,41,29
Shares Outstanding (Diluted),33,41,29
Shares Change,-18.54%,39.96%,-
EPS (Basic),0.26,0.39,-0.22
EPS (Diluted),0.26,0.39,-0.22
EPS Growth,-33.33%,-,-
Free Cash Flow Per Share,-0.02,-0.01,-0.02
EBITDA,8.48,15.77,-6.46
EBIT,8.48,15.77,-6.46
