Year,2022,2021,2020,2019
Revenue,"1,725.19","1,432.77","1,018.27",765.11
Revenue Growth (YoY),20.41%,40.71%,33.09%,-
Gross Profit,"1,725.19","1,432.77","1,018.27",765.11
"Selling, General & Admin","1,325.95","1,130.57",793.54,612.57
Other Operating Expenses,109.29,112.68,67.5,53.1
Operating Expenses,"1,435.24","1,243.26",861.04,665.67
Operating Income,289.95,189.52,157.24,99.44
Interest Expense / Income,104.83,79.35,47.24,35.55
Other Expense / Income,108.13,39.36,32.94,-5.2
Pretax Income,76.99,70.81,77.06,69.09
Income Tax,15.94,4.93,8.95,4.93
Net Income,61.05,65.87,68.1,64.17
Net Income Growth,-7.32%,-3.28%,6.14%,-
Shares Outstanding (Basic),109,106,256,-
Shares Outstanding (Diluted),266,106,-,-
Shares Change,151.35%,-58.64%,-,-
EPS (Basic),0.57,-0.07,-,-
EPS (Diluted),0.52,-0.07,-,-
Free Cash Flow Per Share,2.95,2.49,0.48,-
Gross Margin,100.00%,100.00%,100.00%,100.00%
Operating Margin,16.81%,13.23%,15.44%,13.00%
Profit Margin,3.54%,4.60%,6.69%,8.39%
Free Cash Flow Margin,18.58%,18.41%,12.07%,20.20%
Effective Tax Rate,20.70%,6.97%,11.62%,7.13%
EBITDA,291.11,262.84,191.8,157.74
EBITDA Margin,16.87%,18.35%,18.84%,20.62%
Depreciation & Amortization,109.29,112.68,67.5,53.1
EBIT,181.82,150.16,124.3,104.64
EBIT Margin,10.54%,10.48%,12.21%,13.68%
