Year,2022,2021,2020,2019,2018,2017,2016,2015
Revenue,258.6,239.45,183.47,152.23,140.67,122.32,112.72,105.89
Revenue Growth (YoY),8.00%,30.51%,20.52%,8.22%,15.00%,8.51%,6.45%,-
Gross Profit,258.6,239.45,183.47,152.23,140.67,122.32,112.72,105.89
"Selling, General & Admin",120.35,101.01,89.69,77.52,69.86,68.41,63.84,60.84
Other Operating Expenses,75.73,38.54,37.81,12.62,12.15,9.88,9.67,10.12
Operating Expenses,196.08,139.55,127.49,90.14,82.02,78.29,73.5,70.96
Operating Income,62.52,99.89,55.97,62.09,58.65,44.02,39.22,34.93
Pretax Income,62.52,99.89,55.97,62.09,58.65,44.02,39.22,34.93
Income Tax,11.09,18.34,10.44,11.57,11.36,16.45,12.01,10.79
Net Income,51.43,81.55,45.53,50.52,47.29,27.57,27.21,24.14
Net Income Growth,-36.93%,79.10%,-9.86%,6.83%,71.52%,1.33%,12.73%,-
Shares Outstanding (Basic),52,25,25,26,26,25,24,-
Shares Change,112.77%,-1.07%,-4.50%,0.21%,3.66%,2.38%,-,-
EPS (Basic),1.48,2.85,1.57,2.03,1.90,1.23,1.23,1.07
EPS (Diluted),1.47,2.82,1.56,2.02,1.89,1.22,1.22,1.06
EPS Growth,-47.87%,80.77%,-22.77%,6.88%,54.92%,0%,15.09%,-
Free Cash Flow Per Share,2.06,4.32,2.33,2.06,1.85,1.50,1.53,-
Dividend Per Share,0.520,0.520,0.400,0.400,0.200,0.050,-,-
Dividend Growth,0%,30.00%,0%,100.00%,300.00%,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,24.18%,41.72%,30.51%,40.79%,41.70%,35.99%,34.79%,32.98%
Profit Margin,19.89%,34.06%,24.82%,33.18%,33.62%,22.54%,24.14%,22.79%
Free Cash Flow Margin,41.60%,44.35%,31.56%,35.21%,34.14%,30.72%,33.29%,28.37%
Effective Tax Rate,17.74%,18.36%,18.65%,18.64%,19.37%,37.37%,30.62%,30.90%
EBITDA,76.78,107.44,63.61,67.53,62.95,48.46,43.64,39.88
EBITDA Margin,29.69%,44.87%,34.67%,44.36%,44.75%,39.62%,38.72%,37.66%
Depreciation & Amortization,14.25,7.55,7.64,5.44,4.29,4.43,4.43,4.95
EBIT,62.52,99.89,55.97,62.09,58.65,44.02,39.22,34.93
EBIT Margin,24.18%,41.72%,30.51%,40.79%,41.70%,35.99%,34.79%,32.98%
