Year,2022,2021,2020,2019,2018,2015,2014
Revenue,140.6,179.35,89.91,38.42,26.18,9.45,8.52
Revenue Growth (YoY),-21.61%,99.48%,134.01%,46.74%,177.07%,10.93%,-
Gross Profit,140.6,179.35,89.91,38.42,26.18,9.45,8.52
"Selling, General & Admin",82.86,78.91,56.19,27.44,16.15,4.52,4.47
Other Operating Expenses,21.91,32.08,11.05,5.41,4.32,1.38,1.23
Operating Expenses,104.78,110.99,67.24,32.85,20.46,5.9,5.7
Operating Income,35.82,68.36,22.67,5.58,5.72,3.55,2.82
Other Expense / Income,-0.34,0.15,0.14,0.02,0.01,-,-
Pretax Income,36.16,68.22,22.53,5.55,5.71,3.55,2.82
Income Tax,8.24,15.74,4.84,0.97,1.15,1.05,0.79
Net Income,27.91,52.48,17.7,4.58,4.56,2.5,2.03
Preferred Dividends,0,0,0,0,0,0.05,0.05
Net Income Common,27.91,52.48,17.7,4.58,4.56,2.45,1.98
Net Income Growth,-46.81%,196.55%,286.38%,0.44%,85.89%,23.64%,-
Shares Outstanding (Basic),19,19,9,7,7,2,1
Shares Change,0.91%,118.87%,31.56%,-,217.14%,46.08%,-
EPS (Basic),1.46,2.95,2.07,0.73,1.09,1.19,1.41
EPS (Diluted),1.46,2.95,2.07,0.73,1.09,-,-
EPS Growth,-50.51%,42.51%,182.40%,-32.94%,-,-,-
Free Cash Flow Per Share,5.05,3.12,-12.90,-3.33,-0.93,-2.88,1.17
Dividend Per Share,0.487,0.435,0.285,-,-,-,-
Dividend Growth,11.95%,52.63%,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,25.48%,38.12%,25.22%,14.52%,21.84%,37.53%,33.11%
Profit Margin,19.85%,29.26%,19.68%,11.92%,17.42%,25.96%,23.29%
Free Cash Flow Margin,68.06%,32.64%,-123.05%,-56.47%,-23.10%,-62.67%,19.25%
Effective Tax Rate,22.80%,23.07%,21.47%,17.52%,20.10%,29.56%,28.06%
EBITDA,39.66,72.03,24.09,6.55,6.63,3.82,3.07
EBITDA Margin,28.21%,40.16%,26.79%,17.04%,25.31%,40.38%,36.04%
Depreciation & Amortization,3.5,3.82,1.55,0.99,0.92,0.27,0.25
EBIT,36.16,68.22,22.53,5.55,5.71,3.55,2.82
EBIT Margin,25.72%,38.04%,25.06%,14.45%,21.80%,37.53%,33.11%
