Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Revenue,218,181.62,137.78,88.3,67.62,45.75,41.79,36.13,24.55,25.7
Revenue Growth (YoY),20.03%,31.82%,56.03%,30.59%,47.79%,9.48%,15.67%,47.16%,-4.46%,-
Gross Profit,218,181.62,137.78,88.3,67.62,45.75,41.79,36.13,24.55,25.7
"Selling, General & Admin",104.59,81.58,68.77,42.75,33.73,26.3,24.05,20.09,13.67,13.34
Other Operating Expenses,44.82,35.49,32.22,15.69,16.52,10.5,11.02,10.42,5.49,6.74
Operating Expenses,149.41,117.06,100.99,58.45,50.25,36.8,35.07,30.51,19.16,20.08
Operating Income,68.59,64.56,36.78,29.85,17.37,8.95,6.72,5.62,5.4,5.62
Other Expense / Income,-,-,-,-,-,-,-,-,-,-0.18
Pretax Income,68.59,64.56,36.78,29.85,17.37,8.95,6.72,5.62,5.4,5.8
Income Tax,14.34,12.42,6.79,6.08,3.28,4.1,1.61,1.53,1.36,1.02
Net Income,54.26,52.14,29.99,23.77,14.09,4.85,5.11,4.1,4.03,4.79
Preferred Dividends,1.35,0,0,0,0,0,0,0,0,0
Net Income Common,52.91,52.14,29.99,23.77,14.09,4.85,5.11,4.1,4.03,4.79
Net Income Growth,1.47%,73.82%,26.17%,68.70%,190.66%,-5.15%,24.78%,1.56%,-15.72%,-
Shares Outstanding (Basic),25,20,21,13,12,10,7,7,5,-
Shares Change,23.13%,-1.35%,55.65%,15.12%,12.72%,45.30%,0.09%,32.38%,-,-
EPS (Basic),2.34,2.54,1.65,1.79,1.27,0.63,0.73,0.61,0.76,0.90
EPS (Diluted),2.32,2.53,1.64,1.74,1.22,0.61,0.70,0.59,0.72,0.87
EPS Growth,-8.30%,54.27%,-5.75%,42.62%,100.00%,-12.86%,18.64%,-18.06%,-17.24%,-
Free Cash Flow Per Share,2.46,2.57,1.28,1.54,1.59,0.73,0.97,0.35,1.26,-
Dividend Per Share,0.480,0.460,0.400,0.380,0.240,-,-,-,-,-
Dividend Growth,4.35%,15.00%,5.26%,58.33%,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,31.46%,35.55%,26.70%,33.81%,25.69%,19.56%,16.09%,15.56%,21.98%,21.87%
Profit Margin,24.27%,28.71%,21.77%,26.92%,20.84%,10.60%,12.23%,11.34%,16.43%,18.62%
Free Cash Flow Margin,28.35%,28.89%,19.14%,23.17%,27.15%,16.31%,16.34%,6.74%,27.18%,30.70%
Effective Tax Rate,20.90%,19.24%,18.45%,20.37%,18.88%,45.84%,23.99%,27.13%,25.27%,17.51%
EBITDA,73.41,68.72,39.95,31.44,18.54,10.13,8.02,6.81,6.21,6.65
EBITDA Margin,33.67%,37.84%,28.99%,35.61%,27.42%,22.14%,19.20%,18.86%,25.28%,25.87%
Depreciation & Amortization,4.82,4.16,3.16,1.59,1.17,1.18,1.3,1.19,0.81,0.85
EBIT,68.59,64.56,36.78,29.85,17.37,8.95,6.72,5.62,5.4,5.8
EBIT Margin,31.46%,35.55%,26.70%,33.81%,25.69%,19.56%,16.09%,15.56%,21.98%,22.57%
