Year,2022,2021,2020,2019
Revenue,11.08,8.37,6.54,6.84
Revenue Growth (YoY),32.39%,28.00%,-4.37%,-
Gross Profit,11.08,8.37,6.54,6.84
"Selling, General & Admin",6.34,5.87,5.69,4.9
Other Operating Expenses,2.1,1.55,1.4,0.99
Operating Expenses,8.44,7.42,7.09,5.89
Operating Income,2.65,0.96,-0.56,0.95
Pretax Income,2.65,0.96,-0.56,0.95
Income Tax,0.53,0.17,-0.14,0.17
Net Income,2.11,0.79,-0.42,0.78
Net Income Growth,169.30%,-,-,-
Shares Outstanding (Basic),3,3,2,-
Shares Change,-1.36%,15.00%,-,-
EPS (Basic),0.82,0.31,-,-
EPS (Diluted),0.82,0.31,-,-
EPS Growth,164.52%,-,-,-
Free Cash Flow Per Share,1.52,0.50,-0.20,-
Gross Margin,100.00%,100.00%,100.00%,100.00%
Operating Margin,23.87%,11.41%,-8.49%,13.92%
Profit Margin,19.08%,9.38%,-6.35%,11.39%
Free Cash Flow Margin,37.65%,16.46%,-7.43%,19.61%
Effective Tax Rate,20.08%,17.80%,-,18.17%
EBITDA,2.93,1.13,-0.35,1.15
EBITDA Margin,26.47%,13.46%,-5.35%,16.80%
Depreciation & Amortization,0.29,0.17,0.21,0.2
EBIT,2.65,0.96,-0.56,0.95
EBIT Margin,23.87%,11.41%,-8.49%,13.92%
