Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,720.03,616.81,526.91,587.09,552.33,469,410.92,407.77,357.07,317.9,Upgrade
Revenue Growth (YoY),16.73%,17.06%,-10.25%,6.29%,17.77%,14.13%,0.77%,14.20%,12.32%,40.28%,Upgrade
Gross Profit,720.03,616.81,526.91,587.09,552.33,469,410.92,407.77,357.07,317.9,Upgrade
"Selling, General & Admin",306.83,284.14,262.36,274.61,280.64,239.9,212.99,215.97,193.89,188.99,Upgrade
Other Operating Expenses,95.55,76.16,72.16,70.87,59.85,51.11,48.15,50.18,45.4,41.9,Upgrade
Operating Expenses,402.38,360.3,334.52,345.48,340.49,291.02,261.14,266.15,239.29,230.89,Upgrade
Operating Income,317.65,256.51,192.39,241.61,211.84,177.98,149.78,141.62,117.79,87.01,Upgrade
Pretax Income,317.65,256.51,192.39,241.61,211.84,177.98,149.78,141.62,117.79,87.01,Upgrade
Income Tax,67.47,53.69,38.15,47.16,38.95,65.16,44.92,42.79,36.21,26.99,Upgrade
Net Income,250.18,202.82,154.24,194.45,172.88,112.83,104.87,98.83,81.57,60.02,Upgrade
Net Income Growth,23.35%,31.49%,-20.68%,12.48%,53.23%,7.59%,6.11%,21.15%,35.92%,30.07%,Upgrade
Shares Outstanding (Basic),78,73,71,72,72,60,57,57,53,48,Upgrade
Shares Outstanding (Diluted),78,73,71,72,72,60,57,57,53,49,Upgrade
Shares Change,7.30%,2.81%,-1.60%,-0.49%,20.88%,4.71%,0.28%,7.24%,8.42%,24.93%,Upgrade
EPS (Basic),3.20,2.79,2.17,2.68,2.36,1.86,1.81,1.71,1.53,1.24,Upgrade
EPS (Diluted),3.20,2.78,2.17,2.68,2.36,1.86,1.81,1.71,1.52,1.21,Upgrade
EPS Growth,15.11%,28.11%,-19.03%,13.56%,26.88%,2.76%,5.85%,12.50%,25.62%,4.31%,Upgrade
Free Cash Flow Per Share,4.23,3.37,2.63,2.85,3.34,2.25,2.64,2.50,2.43,1.39,Upgrade
Dividend Per Share,1.200,1.140,1.340,1.400,1.140,0.880,1.530,0.880,0.800,0.410,Upgrade
Dividend Growth,5.26%,-14.93%,-4.29%,22.81%,29.55%,-42.48%,73.86%,10.00%,95.12%,-58.16%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,44.12%,41.59%,36.51%,41.15%,38.35%,37.95%,36.45%,34.73%,32.99%,27.37%,Upgrade
Profit Margin,34.75%,32.88%,29.27%,33.12%,31.30%,24.06%,25.52%,24.24%,22.85%,18.88%,Upgrade
Free Cash Flow Margin,45.90%,39.69%,35.40%,34.91%,43.80%,28.67%,36.74%,34.88%,35.84%,20.92%,Upgrade
Effective Tax Rate,21.24%,20.93%,19.83%,19.52%,18.39%,36.61%,29.99%,30.22%,30.74%,31.02%,Upgrade
EBITDA,366.67,279.68,207.29,275.82,244.81,209.08,184.32,171.93,162.24,127.44,Upgrade
EBITDA Margin,50.92%,45.34%,39.34%,46.98%,44.32%,44.58%,44.86%,42.16%,45.44%,40.09%,Upgrade
Depreciation & Amortization,49.02,23.17,14.89,34.21,32.97,31.1,34.54,30.31,44.46,40.43,Upgrade
EBIT,317.65,256.51,192.39,241.61,211.84,177.98,149.78,141.62,117.79,87.01,Upgrade
EBIT Margin,44.12%,41.59%,36.51%,41.15%,38.35%,37.95%,36.45%,34.73%,32.99%,27.37%,Upgrade
