Year,2022,2021,2020,2019
Revenue,106.03,30.92,4.12,11.05
Revenue Growth (YoY),242.98%,650.66%,-62.73%,-
Cost of Revenue,85.81,28.64,3.7,14.07
Gross Profit,20.22,2.28,0.42,-3.02
"Selling, General & Admin",44.46,14.96,2.27,3.07
Other Operating Expenses,123.03,9.33,0.56,0.48
Operating Expenses,167.49,24.28,2.83,3.56
Operating Income,-147.27,-22,-2.41,-6.58
Interest Expense / Income,13.91,4.62,0.21,0.19
Other Expense / Income,-71.92,-15.41,-2.47,-4.92
Pretax Income,-89.26,-11.21,-0.14,-1.85
Net Income,-89.26,-11.21,-0.14,-1.85
Shares Outstanding (Basic),26,6,45,-
Shares Outstanding (Diluted),26,6,-,-
Shares Change,368.39%,-87.81%,-,-
EPS (Basic),-3.45,-2.03,-,-
EPS (Diluted),-3.45,-2.03,-,-
Free Cash Flow Per Share,-3.82,-46.88,-0.03,-
Gross Margin,19.07%,7.37%,10.27%,-27.37%
Operating Margin,-138.89%,-71.18%,-58.40%,-59.55%
Profit Margin,-84.18%,-36.27%,-3.52%,-16.76%
Free Cash Flow Margin,-93.12%,-836.94%,-33.97%,6.83%
EBITDA,-28.11,1.02,0.62,-1.17
EBITDA Margin,-26.52%,3.29%,15.03%,-10.63%
Depreciation & Amortization,47.24,7.61,0.56,0.48
EBIT,-75.35,-6.59,0.06,-1.66
EBIT Margin,-71.06%,-21.32%,1.47%,-15.01%
