Year,2022,2021,2020
"Selling, General & Admin",11.72,1.38,0.48
Operating Expenses,11.72,1.38,0.48
Operating Income,-11.72,-1.38,-0.48
Other Expense / Income,-11.13,-17.22,10.32
Pretax Income,-0.59,15.84,-10.8
Income Tax,0.05,0,0
Net Income,-0.64,15.84,-10.8
Shares Outstanding (Basic),32,43,31
Shares Outstanding (Diluted),32,43,31
Shares Change,-25.19%,41.37%,-
EPS (Basic),-0.02,0.37,-0.35
EPS (Diluted),-0.02,0.37,-0.35
Free Cash Flow Per Share,-0.08,-0.03,-0.02
EBITDA,-0.59,15.84,-10.8
EBIT,-0.59,15.84,-10.8
