Year,2022,2021,2020
"Selling, General & Admin",1.76,1.44,0.31
Operating Expenses,1.76,1.44,0.31
Operating Income,-1.76,-1.44,-0.31
Other Expense / Income,-4.77,-7.49,7.31
Pretax Income,3.01,6.05,-7.63
Net Income,3.01,6.05,-7.63
Net Income Growth,-50.28%,-,-
Shares Outstanding (Basic),8,18,10
Shares Outstanding (Diluted),8,18,10
Shares Change,-57.76%,76.66%,-
EPS (Basic),0.40,0.34,-0.75
EPS (Diluted),0.40,0.34,-0.75
EPS Growth,17.65%,-,-
Free Cash Flow Per Share,-0.18,-0.07,-0.03
EBITDA,3.01,6.05,-7.63
EBIT,3.01,6.05,-7.63
