Year,2021,2020,2019
Revenue,7.82,16.91,16.5
Revenue Growth (YoY),-53.74%,2.46%,-
Cost of Revenue,3.29,10.95,13.13
Gross Profit,4.53,5.95,3.37
"Selling, General & Admin",0.68,0.45,0.72
Other Operating Expenses,0.27,0.38,0.06
Operating Expenses,0.95,0.84,0.77
Operating Income,3.58,5.12,2.6
Pretax Income,3.58,5.12,2.6
Income Tax,0.09,0.07,0.06
Net Income,3.49,5.04,2.54
Net Income Growth,-30.79%,98.68%,-
Shares Outstanding (Basic),30,30,30
Shares Outstanding (Diluted),30,30,30
EPS (Basic),0.12,0.17,0.08
EPS (Diluted),0.12,0.17,0.08
EPS Growth,-29.41%,112.50%,-
Free Cash Flow Per Share,0.04,0.14,-0.03
Gross Margin,57.92%,35.21%,20.42%
Operating Margin,45.78%,30.26%,15.74%
Profit Margin,44.64%,29.84%,15.39%
Free Cash Flow Margin,14.97%,25.54%,-5.69%
Effective Tax Rate,2.48%,1.38%,2.25%
EBITDA,3.64,5.13,2.62
EBITDA Margin,46.60%,30.34%,15.85%
Depreciation & Amortization,0.06,0.01,0.02
EBIT,3.58,5.12,2.6
EBIT Margin,45.78%,30.26%,15.74%
