Year,2022,2021,2020,2019,2018
Revenue,179.59,215.66,108.89,92.85,52.19
Revenue Growth (YoY),-16.72%,98.04%,17.28%,77.90%,-
Cost of Revenue,19.97,18.62,9.79,7.81,4.6
Gross Profit,159.63,197.03,99.11,85.04,47.59
"Selling, General & Admin",53.81,42.39,40.43,21.26,18.31
Research & Development,8.21,4.35,1.96,1.17,0.8
Other Operating Expenses,0,0,0,-0.2,-0.17
Operating Expenses,62.01,46.75,42.39,22.23,18.95
Operating Income,97.62,150.29,56.72,62.81,28.64
Interest Expense / Income,5.83,5.86,11.6,0.32,0.34
Other Expense / Income,-1.76,-46.74,136.11,-0.02,-0.01
Pretax Income,93.54,191.17,-90.99,62.51,28.32
Income Tax,26.92,45.09,6.57,-0.03,0.04
Net Income,66.62,146.08,-97.56,62.54,28.28
Preferred Dividends,0,0,-6.85,174.48,72.38
Net Income Common,66.62,146.08,-90.72,-111.94,-44.1
Net Income Growth,-54.40%,-,-,-,-
Shares Outstanding (Basic),126,126,83,38,38
Shares Outstanding (Diluted),126,126,83,38,38
Shares Change,-0.10%,52.45%,120.32%,-,-
EPS (Basic),0.53,1.16,-1.09,-2.97,-1.17
EPS (Diluted),0.53,1.16,-1.09,-2.97,-1.17
EPS Growth,-54.31%,-,-,-,-
Free Cash Flow Per Share,0.85,0.74,0.28,1.11,0.76
Gross Margin,88.88%,91.37%,91.01%,91.59%,91.18%
Operating Margin,54.35%,69.69%,52.09%,67.65%,54.88%
Profit Margin,37.09%,67.74%,-83.31%,-120.56%,-84.49%
Free Cash Flow Margin,59.47%,43.20%,21.53%,44.87%,54.60%
Effective Tax Rate,28.78%,23.58%,-,-0.05%,0.13%
EBITDA,101.29,198.69,-77.62,62.94,28.74
EBITDA Margin,56.40%,92.13%,-71.28%,67.79%,55.06%
Depreciation & Amortization,1.92,1.67,1.77,0.11,0.08
EBIT,99.37,197.03,-79.39,62.84,28.66
EBIT Margin,55.33%,91.36%,-72.91%,67.68%,54.91%
