Year,2022,2021,2020,2019,2018,2017
Revenue,103.64,94.32,85.87,77.8,71.78,63
Revenue Growth (YoY),9.88%,9.83%,10.38%,8.39%,13.93%,-
Gross Profit,103.64,94.32,85.87,77.8,71.78,63
"Selling, General & Admin",47.54,43.65,42.27,38.33,35.29,32.54
Other Operating Expenses,11.12,10.61,9.14,9,8.13,7.93
Operating Expenses,58.66,54.26,51.41,47.34,43.42,40.47
Operating Income,44.98,40.06,34.47,30.46,28.36,22.53
Pretax Income,44.98,40.06,34.47,30.46,28.36,22.53
Income Tax,8.07,7.11,6.32,5.64,5.3,8.55
Net Income,36.92,32.95,28.15,24.82,23.06,13.99
Net Income Growth,12.03%,17.08%,13.38%,7.67%,64.86%,-
Shares Outstanding (Basic),7,7,7,7,7,-
Shares Change,-1.27%,-0.67%,0.26%,1.33%,-,-
EPS (Basic),5.14,4.53,3.84,3.51,3.43,2.16
EPS (Diluted),5.13,4.51,3.83,3.49,3.41,2.14
EPS Growth,13.75%,17.75%,9.74%,2.35%,59.35%,-
Free Cash Flow Per Share,5.21,8.15,0.79,3.10,2.85,-
Dividend Per Share,0.280,0.280,0.240,-,-,-
Dividend Growth,0%,16.67%,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,43.40%,42.47%,40.14%,39.16%,39.51%,35.76%
Profit Margin,35.62%,34.94%,32.77%,31.91%,32.12%,22.20%
Free Cash Flow Margin,36.11%,62.90%,6.71%,29.14%,28.68%,26.36%
Effective Tax Rate,17.93%,17.74%,18.34%,18.51%,18.69%,37.93%
EBITDA,47.59,42.61,36.88,32.82,30.4,24.57
EBITDA Margin,45.92%,45.18%,42.95%,42.18%,42.35%,39.00%
Depreciation & Amortization,2.61,2.55,2.41,2.35,2.04,2.04
EBIT,44.98,40.06,34.47,30.46,28.36,22.53
EBIT Margin,43.40%,42.47%,40.14%,39.16%,39.51%,35.76%
