Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2011
Revenue,15.54,32.31,21.52,46.3,66.82,96.26,120.75,149.2,139.39,88.99,Upgrade
Revenue Growth (YoY),-51.89%,50.11%,-53.52%,-30.71%,-30.58%,-20.28%,-19.07%,7.04%,56.63%,99.89%,Upgrade
Cost of Revenue,0,1.15,5.65,11.19,14.34,18.58,27.31,40.68,36.35,22.52,Upgrade
Gross Profit,15.54,31.16,15.87,35.11,52.48,77.68,93.43,108.51,103.04,66.47,Upgrade
"Selling, General & Admin",6.41,5.22,2.2,31.3,12,9.64,9.57,10.04,8.24,6.48,Upgrade
Other Operating Expenses,0.59,1.62,1.46,0.62,0,0,0,0,0,0.15,Upgrade
Operating Expenses,7,6.84,3.66,31.93,12,9.64,9.57,10.04,8.24,6.63,Upgrade
Operating Income,8.54,24.32,12.21,3.18,40.48,68.04,83.87,98.47,94.8,59.85,Upgrade
Interest Expense / Income,5.11,5.8,14.94,24.05,27.92,31.4,30.28,25.53,20.13,13.45,Upgrade
Other Expense / Income,9.54,17.24,63.09,75.71,123.33,51.45,81.55,87.69,22.51,6.98,Upgrade
Pretax Income,-6.11,1.28,-65.81,-96.58,-110.77,-14.81,-27.96,-14.76,52.16,39.42,Upgrade
Income Tax,0,0,0,0,0.16,0.27,0,0,0,0,Upgrade
Net Income,-6.11,1.28,-65.81,-96.58,-110.92,-15.08,-27.96,-14.76,52.16,39.42,Upgrade
Net Income Growth,-,-,-,-,-,-,-,-,32.32%,75.94%,Upgrade
Shares Outstanding (Basic),2,3,3,3,3,3,3,3,2,2,Upgrade
Shares Outstanding (Diluted),2,3,3,3,3,3,3,3,2,2,Upgrade
Shares Change,-13.23%,-1.68%,-,-,-0.00%,-1.67%,-3.86%,21.66%,56.60%,68.79%,Upgrade
EPS (Basic),-2.63,0.48,-24.16,-35.46,-40.73,-5.60,-10.00,-5.20,22.00,26.00,Upgrade
EPS (Diluted),-2.63,0.48,-24.16,-35.46,-40.73,-5.60,-10.00,-5.20,22.00,26.00,Upgrade
EPS Growth,-,-,-,-,-,-,-,-,-15.38%,4.00%,Upgrade
Free Cash Flow Per Share,-12.61,35.52,28.77,65.93,28.90,24.14,98.52,-7.12,-168.79,-210.26,Upgrade
Dividend Per Share,0.121,-,2.827,3.000,10.400,15.200,22.400,25.400,29.600,29.000,Upgrade
Dividend Growth,-,-,-5.77%,-71.15%,-31.58%,-32.14%,-11.81%,-14.19%,2.07%,20.83%,Upgrade
Gross Margin,100.00%,96.45%,73.75%,75.83%,78.53%,80.70%,77.38%,72.73%,73.92%,74.70%,Upgrade
Operating Margin,54.97%,75.29%,56.76%,6.87%,60.58%,70.69%,69.46%,66.00%,68.01%,67.25%,Upgrade
Profit Margin,-39.29%,3.96%,-305.80%,-208.59%,-166.00%,-15.66%,-23.16%,-9.89%,37.42%,44.29%,Upgrade
Free Cash Flow Margin,-188.48%,294.45%,364.11%,387.85%,117.79%,68.29%,226.00%,-13.74%,-286.79%,-357.31%,Upgrade
EBITDA,-0.99,7.08,-50.88,-72.53,-82.85,16.59,2.31,10.77,72.29,52.87,Upgrade
EBITDA Margin,-6.39%,21.91%,-236.40%,-156.65%,-123.99%,17.24%,1.92%,7.22%,51.86%,59.41%,Upgrade
EBIT,-0.99,7.08,-50.88,-72.53,-82.85,16.59,2.31,10.77,72.29,52.87,Upgrade
EBIT Margin,-6.39%,21.91%,-236.40%,-156.65%,-123.99%,17.24%,1.92%,7.22%,51.86%,59.41%,Upgrade
