Year,2022,2021,2020,2019,2018
Revenue,787.59,619.08,499.55,397.27,301.7
Revenue Growth (YoY),27.22%,23.93%,25.74%,31.68%,-
Cost of Revenue,373.55,263.06,197,139.97,87.41
Gross Profit,414.04,356.02,302.55,257.31,214.29
"Selling, General & Admin",429.39,343.94,274.9,237.51,197.92
Other Operating Expenses,52.21,22.14,11.8,8.95,7.75
Operating Expenses,481.6,366.09,286.7,246.46,205.68
Operating Income,-67.57,-10.07,15.85,10.85,8.61
Interest Expense / Income,-2.03,1.99,0.99,0,0
Other Expense / Income,-104.63,27.54,-0.13,-0.61,0.02
Pretax Income,39.1,-39.61,14.99,11.46,8.6
Income Tax,7.02,6.75,4.82,7.25,0.12
Net Income,32.08,-46.36,10.17,4.21,8.47
Net Income Growth,-,-,141.71%,-50.37%,-
Shares Outstanding (Basic),83,82,0,0,-
Shares Outstanding (Diluted),336,82,0,0,-
Shares Change,308.31%,82227.00%,32.16%,-,-
EPS (Basic),0.39,-0.56,101.66,55.59,-
EPS (Diluted),-0.07,-0.56,101.66,55.59,-
EPS Growth,-,-,82.87%,-,-
Free Cash Flow Per Share,0.13,-0.01,463.14,537.86,-
Gross Margin,52.57%,57.51%,60.56%,64.77%,71.03%
Operating Margin,-8.58%,-1.63%,3.17%,2.73%,2.85%
Profit Margin,4.07%,-7.49%,2.04%,1.06%,2.81%
Free Cash Flow Margin,1.39%,-0.18%,9.27%,10.24%,12.68%
Effective Tax Rate,17.95%,-,32.16%,63.29%,1.42%
EBITDA,81.83,-15.47,27.77,20.41,16.35
EBITDA Margin,10.39%,-2.50%,5.56%,5.14%,5.42%
Depreciation & Amortization,44.76,22.14,11.8,8.95,7.75
EBIT,37.07,-37.61,15.97,11.46,8.6
EBIT Margin,4.71%,-6.08%,3.20%,2.88%,2.85%
