Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Revenue,417.2,523.8,499.5,594.6,928.2,887.4,663.5,699.3,"1,056.3",928.6,Upgrade
Revenue Growth (YoY),-20.35%,4.86%,-15.99%,-35.94%,4.60%,33.75%,-5.12%,-33.80%,13.75%,32.00%,Upgrade
Gross Profit,417.2,523.8,499.5,594.6,928.2,887.4,663.5,699.3,"1,056.3",928.6,Upgrade
"Selling, General & Admin",230.3,355.8,331.1,355.7,822.4,795.7,495.7,501,513.3,421,Upgrade
Other Operating Expenses,19,22.2,36.7,16.7,22,20.7,12.2,7.1,474.6,457,Upgrade
Operating Expenses,249.3,378,367.8,372.4,844.4,816.4,507.9,508.1,987.9,878,Upgrade
Operating Income,167.9,145.8,131.7,222.2,83.8,71,155.6,191.2,68.4,50.6,Upgrade
Interest Expense / Income,20.5,24.8,28.5,32.2,24.9,24.5,11.3,3.1,186.2,222.3,Upgrade
Other Expense / Income,2.6,-757.4,-280.6,-44.4,-82.5,-90.5,-22.9,-14,-182.3,-210.7,Upgrade
Pretax Income,144.8,878.4,383.8,234.4,141.4,137,167.2,202.1,64.5,39,Upgrade
Income Tax,44.2,50,97.1,10.5,5,132.8,40.8,46.6,12.8,13.3,Upgrade
Net Income,100.6,828.4,286.7,223.9,136.4,4.2,126.4,155.5,51.7,25.7,Upgrade
Net Income Growth,-87.86%,188.94%,28.05%,64.15%,3147.62%,-96.68%,-18.71%,200.77%,101.17%,756.67%,Upgrade
Shares Outstanding (Basic),42,77,81,91,107,111,119,120,120,120,Upgrade
Shares Outstanding (Diluted),43,81,82,91,108,111,120,121,120,120,Upgrade
Shares Change,-46.34%,-1.83%,-10.19%,-15.15%,-3.41%,-6.78%,-0.83%,0.42%,-,-,Upgrade
EPS (Basic),2.39,10.73,3.53,2.45,1.27,0.04,1.05,1.29,0.43,0.21,Upgrade
EPS (Diluted),2.33,10.29,3.49,2.45,1.26,0.04,1.05,1.29,0.43,0.21,Upgrade
EPS Growth,-77.36%,194.84%,42.45%,94.44%,3050.00%,-96.19%,-18.60%,200.00%,104.76%,600.00%,Upgrade
Free Cash Flow Per Share,2.39,-0.34,0.80,-1.88,1.61,1.14,1.04,2.00,1.22,1.12,Upgrade
Dividend Per Share,0.040,0.040,0.230,0.400,0.390,0.350,0.320,0.320,-,-,Upgrade
Dividend Growth,0%,-82.61%,-42.50%,2.56%,11.43%,9.38%,0%,-,-,-,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,40.24%,27.84%,26.37%,37.37%,9.03%,8.00%,23.45%,27.34%,6.48%,5.45%,Upgrade
Profit Margin,24.11%,158.15%,57.40%,37.66%,14.70%,0.47%,19.05%,22.24%,4.89%,2.77%,Upgrade
Free Cash Flow Margin,24.14%,-5.08%,12.99%,-28.83%,18.68%,14.20%,18.72%,34.41%,13.87%,14.49%,Upgrade
Effective Tax Rate,30.52%,5.69%,25.30%,4.48%,3.54%,96.93%,24.40%,23.06%,19.84%,34.10%,Upgrade
EBITDA,183.9,925.4,432.4,283,187.4,179.8,190.5,212.3,385.3,409.1,Upgrade
EBITDA Margin,44.08%,176.67%,86.57%,47.60%,20.19%,20.26%,28.71%,30.36%,36.48%,44.06%,Upgrade
Depreciation & Amortization,18.6,22.2,20.1,16.4,21.1,18.3,12,7.1,134.6,147.8,Upgrade
EBIT,165.3,903.2,412.3,266.6,166.3,161.5,178.5,205.2,250.7,261.3,Upgrade
EBIT Margin,39.62%,172.43%,82.54%,44.84%,17.92%,18.20%,26.90%,29.34%,23.73%,28.14%,Upgrade
