Year,2022,2021,2020,2019,2018,2017,2016
Revenue,219.55,197.39,194.46,197.95,99.29,24.61,0.87
Revenue Growth (YoY),11.22%,1.51%,-1.76%,99.35%,303.55%,2732.88%,-
Cost of Revenue,54.24,54.4,39.01,47.38,24.31,6.66,0.61
Gross Profit,165.3,143,155.45,150.57,74.99,17.94,0.26
"Selling, General & Admin",6.48,5.76,6.12,5.32,1.18,0.96,0.3
Other Operating Expenses,2.96,-1.98,-0.05,-5.95,-6.13,-1.17,0.92
Operating Expenses,9.44,3.78,6.07,-0.63,-4.95,-0.21,1.22
Operating Income,155.86,139.22,149.37,151.2,79.94,18.15,-0.96
Interest Expense / Income,52.32,51.35,63.31,66.33,24.01,3.62,0.03
Other Expense / Income,-2.77,-32.07,77.55,-13.22,29.29,-4.77,-1.6
Pretax Income,106.32,119.94,8.51,98.09,26.65,19.31,0.61
Income Tax,0.84,0.13,0.23,0,0,0.01,0
Net Income,105.48,119.81,8.28,98.09,26.65,19.3,0.61
Net Income Growth,-11.96%,1347.29%,-91.56%,268.12%,38.06%,3069.26%,-
Shares Outstanding (Basic),65,65,59,52,39,20,1
Shares Outstanding (Diluted),65,65,59,52,39,20,1
Shares Change,-,10.04%,13.70%,33.80%,97.29%,1527.68%,-
EPS (Basic),1.63,1.86,0.14,1.90,0.69,0.99,0.51
EPS (Diluted),1.63,1.86,0.14,1.90,0.69,0.99,0.51
EPS Growth,-12.37%,1228.57%,-92.63%,175.36%,-30.30%,94.12%,-
Free Cash Flow Per Share,-4.91,4.11,1.52,-4.70,-20.07,-35.67,-83.90
Dividend Per Share,1.380,1.360,1.500,1.640,0.410,-,-
Dividend Growth,1.47%,-9.33%,-8.54%,300.00%,-,-,-
Gross Margin,75.29%,72.44%,79.94%,76.07%,75.52%,72.92%,29.77%
Operating Margin,70.99%,70.53%,76.81%,76.38%,80.51%,73.78%,-110.92%
Profit Margin,48.04%,60.69%,4.26%,49.55%,26.83%,78.44%,70.11%
Free Cash Flow Margin,-144.31%,134.53%,45.98%,-122.64%,-779.75%,-2834.28%,-11601.61%
Effective Tax Rate,0.79%,0.11%,2.73%,-,-,0.03%,-
EBITDA,158.64,171.29,71.82,164.42,50.66,22.92,0.64
EBITDA Margin,72.26%,86.77%,36.93%,83.06%,51.02%,93.15%,73.22%
EBIT,158.64,171.29,71.82,164.42,50.66,22.92,0.64
EBIT Margin,72.26%,86.77%,36.93%,83.06%,51.02%,93.15%,73.22%
