Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,"1,824.64","1,973.81","1,728.17","1,764.11","1,593.65","1,543.8","1,356.25","1,327.83","1,287.15","1,322.65",Upgrade
Revenue Growth (YoY),-7.56%,14.21%,-2.04%,10.70%,3.23%,13.83%,2.14%,3.16%,-2.68%,-4.38%,Upgrade
Gross Profit,"1,824.64","1,973.81","1,728.17","1,764.11","1,593.65","1,543.8","1,356.25","1,327.83","1,287.15","1,322.65",Upgrade
"Selling, General & Admin","1,052.33","1,037","1,019.7","1,002.86",902.7,902.49,863.93,795.17,754,750,Upgrade
Other Operating Expenses,112.15,140.71,144.61,130.38,125.47,123.03,153.66,101.02,93.53,90.62,Upgrade
Operating Expenses,"1,164.48","1,177.71","1,164.31","1,133.24","1,028.17","1,025.52","1,017.59",896.19,847.52,840.62,Upgrade
Operating Income,660.16,796.1,563.86,630.87,565.49,518.28,338.66,431.64,439.63,482.03,Upgrade
Other Expense / Income,0.02,-1.8,0.04,-0.07,0.78,1.04,-0.39,3.69,3.04,2.32,Upgrade
Pretax Income,660.14,797.9,563.82,630.94,564.71,517.24,339.05,427.95,436.59,479.71,Upgrade
Income Tax,139.86,179.78,128.79,130.18,119.06,182.59,106.38,139.38,144.15,163.1,Upgrade
Net Income,520.27,618.12,435.03,500.76,445.65,334.64,232.67,288.57,292.44,316.61,Upgrade
Net Income Growth,-15.83%,42.09%,-13.13%,12.37%,33.17%,43.83%,-19.37%,-1.32%,-7.64%,-9.85%,Upgrade
Shares Outstanding (Basic),67,69,70,71,67,65,65,68,68,68,Upgrade
Shares Outstanding (Diluted),67,69,70,71,67,65,65,68,69,68,Upgrade
Shares Change,-2.01%,-1.79%,-1.35%,6.21%,2.86%,-0.52%,-3.76%,-1.24%,0.50%,0.35%,Upgrade
EPS (Basic),7.68,8.95,6.19,7.03,6.63,5.11,3.53,4.22,4.23,4.61,Upgrade
EPS (Diluted),7.68,8.95,6.19,7.03,6.63,5.11,3.53,4.21,4.22,4.59,Upgrade
EPS Growth,-14.19%,44.59%,-11.95%,6.03%,29.75%,44.76%,-16.15%,-0.24%,-8.06%,-10.53%,Upgrade
Free Cash Flow Per Share,73.91,-54.41,-6.93,-11.24,-9.12,3.68,-1.43,3.35,-1.03,11.08,Upgrade
Dividend Per Share,2.130,2.090,2.050,2.010,1.900,1.770,1.730,1.690,1.620,1.540,Upgrade
Dividend Growth,1.91%,1.95%,1.99%,5.79%,7.34%,2.31%,2.37%,4.32%,5.19%,-37.65%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,36.18%,40.33%,32.63%,35.76%,35.48%,33.57%,24.97%,32.51%,34.16%,36.44%,Upgrade
Profit Margin,28.51%,31.32%,25.17%,28.39%,27.96%,21.68%,17.16%,21.73%,22.72%,23.94%,Upgrade
Free Cash Flow Margin,272.27%,-189.07%,-28.02%,-45.11%,-38.11%,15.43%,-6.84%,17.04%,-5.49%,56.96%,Upgrade
Effective Tax Rate,21.19%,22.53%,22.84%,20.63%,21.08%,35.30%,31.38%,32.57%,33.02%,34.00%,Upgrade
EBITDA,767.7,900.36,662.84,726.36,625.55,571.7,386.06,465.87,473.29,532.97,Upgrade
EBITDA Margin,42.07%,45.62%,38.35%,41.17%,39.25%,37.03%,28.47%,35.08%,36.77%,40.30%,Upgrade
Depreciation & Amortization,107.56,102.47,99.01,95.42,60.84,54.47,47.02,37.92,36.71,53.26,Upgrade
EBIT,660.14,797.9,563.82,630.94,564.71,517.24,339.05,427.95,436.59,479.71,Upgrade
EBIT Margin,36.18%,40.42%,32.63%,35.77%,35.43%,33.50%,25.00%,32.23%,33.92%,36.27%,Upgrade
