Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Revenue,477.64,432.46,306.78,279.53,233.85,184.71,126.62,119.42,99.37,48.28,Upgrade
Revenue Growth (YoY),10.45%,40.97%,9.75%,19.53%,26.60%,45.88%,6.03%,20.18%,105.80%,99.86%,Upgrade
Gross Profit,477.64,432.46,306.78,279.53,233.85,184.71,126.62,119.42,99.37,48.28,Upgrade
"Selling, General & Admin",276.12,230.46,176.61,158.16,127.48,94.6,71.04,62.86,53.95,25.3,Upgrade
Other Operating Expenses,64.51,57.05,45.46,45.92,39.87,29.02,22.07,19.01,15.26,7.43,Upgrade
Operating Expenses,340.63,287.51,222.07,204.08,167.35,123.61,93.11,81.87,69.2,32.72,Upgrade
Operating Income,137,144.95,84.71,75.45,66.5,61.1,33.51,37.55,30.17,15.56,Upgrade
Other Expense / Income,-,-,-,-,-,-,-,-,2.06,0.87,Upgrade
Pretax Income,137,144.95,84.71,75.45,66.5,61.1,33.51,37.55,28.11,14.69,Upgrade
Income Tax,34.69,31.98,20.69,16.9,14.79,24.88,12.81,8.42,10.38,2.13,Upgrade
Net Income,102.31,112.97,64.02,58.54,51.71,36.22,20.7,29.13,17.73,12.56,Upgrade
Preferred Dividends,3.21,3.21,1.7,0,0.58,0.77,0.89,0.78,0.78,0.72,Upgrade
Net Income Common,99.11,109.77,62.32,58.54,51.13,35.45,19.81,28.35,16.95,11.84,Upgrade
Net Income Growth,-9.71%,76.13%,6.45%,14.50%,44.25%,78.90%,-30.12%,67.28%,43.16%,17.44%,Upgrade
Shares Outstanding (Basic),24,25,25,25,26,21,18,18,18,17,Upgrade
Shares Change,-2.57%,1.10%,-2.00%,-3.51%,26.22%,15.00%,0.36%,0.42%,8.30%,-,Upgrade
EPS (Basic),4.06,4.44,2.56,2.26,2.06,1.85,1.11,1.60,1.55,1.40,Upgrade
EPS (Diluted),3.96,4.35,2.53,2.25,2.03,1.81,1.10,1.57,1.52,1.39,Upgrade
EPS Growth,-8.97%,71.94%,12.44%,10.84%,12.15%,64.55%,-29.94%,3.29%,9.35%,-37.95%,Upgrade
Free Cash Flow Per Share,2.60,4.88,3.21,2.02,2.10,1.89,1.47,1.27,0.94,0.57,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,28.68%,33.52%,27.61%,26.99%,28.44%,33.08%,26.46%,31.45%,30.36%,32.23%,Upgrade
Profit Margin,20.75%,25.38%,20.31%,20.94%,21.86%,19.19%,15.65%,23.74%,17.06%,24.52%,Upgrade
Free Cash Flow Margin,13.31%,28.35%,26.00%,18.28%,23.54%,21.29%,21.05%,19.14%,17.04%,19.60%,Upgrade
Effective Tax Rate,25.32%,22.06%,24.42%,22.40%,22.24%,40.72%,38.23%,22.42%,36.92%,14.52%,Upgrade
EBITDA,162.23,167.87,103.76,92.71,79.2,70.3,40.11,43.68,32.98,16.1,Upgrade
EBITDA Margin,33.96%,38.82%,33.82%,33.17%,33.87%,38.06%,31.68%,36.57%,33.19%,33.34%,Upgrade
Depreciation & Amortization,25.22,22.91,19.05,17.27,12.7,9.2,6.6,6.12,4.87,1.41,Upgrade
EBIT,137,144.95,84.71,75.45,66.5,61.1,33.51,37.55,28.11,14.69,Upgrade
EBIT Margin,28.68%,33.52%,27.61%,26.99%,28.44%,33.08%,26.46%,31.45%,28.29%,30.43%,Upgrade
