Year,2022,2021,2020,2008,2007,2006,2005,2004,2003,2002,2001
Revenue,8.55,0,0,0.34,1.55,3.87,3.31,3.59,1.09,0.49,Upgrade
Revenue Growth (YoY),-,-,-,-78.21%,-60.03%,16.89%,-7.87%,228.77%,123.07%,8834.02%,Upgrade
Cost of Revenue,9.51,0,0,0.15,1.34,2.37,2.23,2.39,0.8,0.46,Upgrade
Gross Profit,-0.96,0,0,0.19,0.21,1.5,1.08,1.2,0.29,0.03,Upgrade
"Selling, General & Admin",7.56,0.33,0,2.95,3.04,2.59,2,1.39,1.14,0.76,Upgrade
Research & Development,0,0,0,0.28,0.13,1.05,0.56,0.17,0.04,0.05,Upgrade
Other Operating Expenses,12.39,0,0,"32,301.81",0,0.11,0.13,0.09,0.06,0.04,Upgrade
Operating Expenses,19.94,0.33,0,"32,305.05",3.17,3.76,2.68,1.65,1.24,0.85,Upgrade
Operating Income,-20.9,-0.33,0,"-32,304.85",-2.96,-2.25,-1.61,-0.45,-0.95,-0.82,Upgrade
Interest Expense / Income,0.11,0.24,0.26,0,0,0,0,0,0,0.01,Upgrade
Other Expense / Income,1.97,-,-,"-32,301.57",-0.16,-0.02,-0.22,-0.04,-0.01,-0.02,Upgrade
Pretax Income,-22.98,-0.57,-0.26,-3.28,-2.8,-2.23,-1.38,-0.41,-0.94,-0.81,Upgrade
Income Tax,0.54,0,0,0.01,-0.01,0.03,0.03,0.02,0,0,Upgrade
Net Income,-23.52,-0.57,-0.26,-3.29,-2.79,-2.26,-1.41,-0.42,-0.94,-0.81,Upgrade
Shares Outstanding (Basic),57,2,2,1,1,1,1,1,1,0,Upgrade
Shares Outstanding (Diluted),57,2,2,1,1,1,1,1,-,-,Upgrade
Shares Change,3680.20%,-0.00%,8.92%,1.31%,0.02%,-0.03%,32.68%,56.89%,347.75%,-56.27%,Upgrade
EPS (Basic),-0.41,-0.38,-0.18,-2.34,-2.04,-1.62,-1.02,-0.42,-1.44,-5.58,Upgrade
EPS (Diluted),-0.41,-0.38,-0.18,-2.34,-2.04,-1.62,-1.02,-0.42,-,-,Upgrade
Free Cash Flow Per Share,-0.98,-2.24,-,-1.67,-2.00,-1.26,-1.07,-0.63,-1.31,-3.65,Upgrade
Gross Margin,-11.19%,-,-,56.85%,13.50%,38.79%,32.53%,33.44%,26.88%,6.08%,Upgrade
Operating Margin,-244.45%,-,-,-9586152.24%,-191.62%,-58.24%,-48.55%,-12.47%,-86.71%,-167.97%,Upgrade
Profit Margin,-275.12%,-,-,-975.18%,-180.26%,-58.32%,-42.64%,-11.80%,-86.36%,-165.11%,Upgrade
Free Cash Flow Margin,-653.25%,-,-,-688.32%,-177.22%,-44.65%,-44.19%,-18.08%,-78.74%,-109.41%,Upgrade
EBITDA,-21.75,-0.33,0,-3.28,-2.8,-2.12,-1.26,-0.32,-0.88,-0.76,Upgrade
EBITDA Margin,-254.39%,-,-,-973.06%,-181.14%,-54.88%,-38.01%,-8.91%,-80.58%,-154.63%,Upgrade
Depreciation & Amortization,1.12,0,0,0,0,0.11,0.13,0.09,0.06,0.04,Upgrade
EBIT,-22.87,-0.33,0,-3.28,-2.8,-2.23,-1.38,-0.41,-0.94,-0.8,Upgrade
EBIT Margin,-267.49%,-,-,-973.06%,-181.14%,-57.67%,-41.80%,-11.36%,-85.99%,-163.71%,Upgrade
