Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Revenue,118.14,134.92,108.09,91.26,64.31,39.9,46.72,42.01,35.97,35.59
Revenue Growth (YoY),-12.44%,24.82%,18.44%,41.91%,61.17%,-14.59%,11.22%,16.79%,1.06%,-
Gross Profit,118.14,134.92,108.09,91.26,64.31,39.9,46.72,42.01,35.97,35.59
"Selling, General & Admin",43.44,46.99,50.1,39.48,31.95,23.54,23.05,21.73,19.93,18.1
Other Operating Expenses,25.93,26.55,27.26,22.52,21.54,10.23,10.08,9.25,8.64,7.33
Operating Expenses,69.37,73.54,77.36,62,53.49,33.77,33.13,30.98,28.56,25.43
Operating Income,48.77,61.38,30.73,29.27,10.82,6.14,13.59,11.03,7.4,10.16
Pretax Income,48.77,61.38,30.73,29.27,10.82,6.14,13.59,11.03,7.4,10.16
Income Tax,9.75,12.7,6.04,6.84,1.17,4.64,4.49,3.47,2.41,3.75
Net Income,39.02,48.68,24.7,22.42,9.66,1.5,9.1,7.56,4.99,6.41
Net Income Growth,-19.85%,97.10%,10.14%,132.23%,543.24%,-83.50%,20.35%,51.43%,-22.10%,-
Shares Outstanding (Basic),22,22,20,18,13,11,9,9,8,9
Shares Outstanding (Diluted),22,22,20,19,14,13,11,10,10,10
Shares Change,-0.54%,9.88%,8.45%,28.54%,13.10%,14.19%,8.00%,0.98%,-1.24%,-
EPS (Basic),1.77,2.20,1.22,1.25,0.73,0.13,0.98,0.89,0.59,0.75
EPS (Diluted),1.77,2.19,1.22,1.20,0.67,0.12,0.81,0.73,0.49,0.62
EPS Growth,-19.18%,79.51%,1.67%,79.10%,458.33%,-85.19%,10.96%,48.98%,-20.97%,-
Free Cash Flow Per Share,-1.10,5.24,1.09,-4.86,2.21,-1.57,0.59,-1.07,-0.86,0.94
Dividend Per Share,0.360,0.230,0.200,0.190,0.080,-,-,-,-,-
Dividend Growth,56.52%,15.00%,5.26%,137.50%,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,41.28%,45.49%,28.43%,32.07%,16.83%,15.38%,29.09%,26.26%,20.59%,28.54%
Profit Margin,33.03%,36.08%,22.85%,24.57%,15.01%,3.76%,19.47%,18.00%,13.88%,18.01%
Free Cash Flow Margin,-20.54%,85.89%,20.40%,-95.26%,45.63%,-44.32%,11.74%,-21.77%,-20.26%,22.80%
Effective Tax Rate,20.00%,20.69%,19.64%,23.39%,10.78%,75.54%,33.06%,31.46%,32.58%,36.91%
EBITDA,51.94,64.83,33.93,32.15,11.85,6.59,14.01,11.54,8.03,10.81
EBITDA Margin,43.97%,48.05%,31.39%,35.23%,18.43%,16.51%,29.99%,27.46%,22.32%,30.38%
Depreciation & Amortization,3.17,3.45,3.2,2.88,1.03,0.45,0.42,0.51,0.63,0.66
EBIT,48.77,61.38,30.73,29.27,10.82,6.14,13.59,11.03,7.4,10.16
EBIT Margin,41.28%,45.49%,28.43%,32.07%,16.83%,15.38%,29.09%,26.26%,20.59%,28.54%
