Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,"1,379","1,236","1,093","1,167","1,147","1,037",757,620.19,585.92,500.73,Upgrade
Revenue Growth (YoY),11.57%,13.08%,-6.34%,1.74%,10.61%,36.99%,22.06%,5.85%,17.01%,5.91%,Upgrade
Gross Profit,"1,379","1,236","1,093","1,167","1,147","1,037",757,620.19,585.92,500.73,Upgrade
"Selling, General & Admin",659,631,625,573,551,486,362,325,310.39,280.22,Upgrade
Other Operating Expenses,167,102,125,123,144,195,149,65.55,68.87,57.96,Upgrade
Operating Expenses,826,733,750,696,695,681,511,390.55,379.25,338.17,Upgrade
Operating Income,553,503,343,471,452,356,246,229.64,206.67,162.56,Upgrade
Pretax Income,553,503,343,471,452,356,246,229.64,206.67,162.56,Upgrade
Income Tax,114,98,57,84,79,157,75,69.99,62.62,44.76,Upgrade
Net Income,439,405,286,387,373,199,171,159.65,144.05,117.8,Upgrade
Preferred Dividends,8,8,8,8,8,8,8,8.04,8.35,0,Upgrade
Net Income Common,431,397,278,379,365,191,163,151.61,135.7,117.8,Upgrade
Net Income Growth,8.56%,42.81%,-26.65%,3.84%,91.10%,17.18%,7.51%,11.72%,15.19%,6.70%,Upgrade
Shares Outstanding (Basic),351,319,323,325,324,323,210,175,174,159,Upgrade
Shares Change,9.99%,-1.15%,-0.70%,0.19%,0.30%,53.62%,20.00%,1.06%,9.23%,13.64%,Upgrade
EPS (Basic),1.23,1.24,0.86,1.17,1.13,0.63,0.79,0.87,0.81,0.81,Upgrade
EPS (Diluted),1.22,1.23,0.85,1.16,1.12,0.63,0.78,0.86,0.80,0.80,Upgrade
EPS Growth,-0.81%,44.71%,-26.72%,3.57%,77.78%,-19.23%,-9.30%,7.50%,0%,1.27%,Upgrade
Free Cash Flow Per Share,3.20,1.48,0.22,0.66,1.78,0.69,1.11,1.22,2.46,2.08,Upgrade
Dividend Per Share,0.480,0.480,0.480,0.480,0.480,0.480,0.480,0.480,0.480,0.480,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,40.10%,40.70%,31.38%,40.36%,39.41%,34.33%,32.50%,37.03%,35.27%,32.46%,Upgrade
Profit Margin,31.25%,32.12%,25.43%,32.48%,31.82%,18.42%,21.53%,24.45%,23.16%,23.53%,Upgrade
Free Cash Flow Margin,81.44%,38.19%,6.59%,18.25%,50.22%,21.41%,30.78%,34.47%,72.80%,66.15%,Upgrade
Effective Tax Rate,20.61%,19.48%,16.62%,17.83%,17.48%,44.10%,30.49%,30.48%,30.30%,27.53%,Upgrade
EBITDA,626,513,340,516,561,445,307,273.59,246.79,193.33,Upgrade
EBITDA Margin,45.40%,41.50%,31.11%,44.22%,48.91%,42.91%,40.55%,44.11%,42.12%,38.61%,Upgrade
Depreciation & Amortization,73,10,-3,45,109,89,61,43.95,40.12,30.77,Upgrade
EBIT,553,503,343,471,452,356,246,229.64,206.67,162.56,Upgrade
EBIT Margin,40.10%,40.70%,31.38%,40.36%,39.41%,34.33%,32.50%,37.03%,35.27%,32.46%,Upgrade
