Year,2022,2021,2020,2019,2018,2017,2016
Revenue,640.66,530.48,335.06,446.85,457.41,226.24,178.39
Revenue Growth (YoY),20.77%,58.32%,-25.02%,-2.31%,102.18%,26.82%,-
Gross Profit,640.66,530.48,335.06,446.85,457.41,226.24,178.39
"Selling, General & Admin",323.72,270.2,216.29,203.19,151.74,122.1,88.47
Other Operating Expenses,392.22,197.5,176.86,159.22,135.58,102.07,73.86
Operating Expenses,715.94,467.69,393.15,362.42,287.32,224.17,162.33
Operating Income,-75.29,62.79,-58.09,84.43,170.1,2.07,16.06
Other Expense / Income,-,-,-,57.34,106.8,-,46.44
Pretax Income,-75.29,62.79,-58.09,27.1,63.3,2.07,-30.38
Income Tax,2.46,15.38,-13.01,22.83,46.7,12.28,-34.8
Net Income,-77.74,47.41,-45.08,4.26,16.6,-10.21,4.42
Net Income Growth,-,-,-,-74.32%,-,-,-
Shares Outstanding (Basic),33,28,27,9,3,2,2
Shares Outstanding (Diluted),33,30,27,11,4,2,3
Shares Change,8.25%,10.94%,153.98%,189.68%,53.53%,-29.95%,-
EPS (Basic),-2.37,1.68,-1.65,0.46,6.42,-4.22,1.83
EPS (Diluted),-2.37,1.56,-1.65,0.40,4.47,-4.22,1.28
EPS Growth,-,-,-,-91.05%,-,-,-
Free Cash Flow Per Share,6.06,4.86,4.80,20.56,46.58,52.52,41.33
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,-11.75%,11.84%,-17.34%,18.90%,37.19%,0.91%,9.00%
Profit Margin,-12.14%,8.94%,-13.45%,0.95%,3.63%,-4.51%,2.48%
Free Cash Flow Margin,31.06%,25.82%,39.13%,43.00%,26.33%,56.18%,55.89%
Effective Tax Rate,-,24.49%,-,84.27%,73.78%,593.28%,-
EBITDA,-27.75,89.9,-37.87,41.2,75.12,12.66,-22.01
EBITDA Margin,-4.33%,16.95%,-11.30%,9.22%,16.42%,5.59%,-12.34%
Depreciation & Amortization,47.53,27.11,20.22,14.1,11.82,10.59,8.38
EBIT,-75.29,62.79,-58.09,27.1,63.3,2.07,-30.38
EBIT Margin,-11.75%,11.84%,-17.34%,6.06%,13.84%,0.91%,-17.03%
