Year,2021,2020,2019,2018
"Selling, General & Admin",0.64,0.25,0.02,0
Operating Expenses,0.64,0.25,0.02,0
Operating Income,-0.64,-0.25,-0.02,-0
Other Expense / Income,-1.98,2.07,-,-
Pretax Income,1.35,-2.32,-0.02,-0
Net Income,1.35,-2.32,-0.02,-0
Shares Outstanding (Basic),5,3,1,0
Shares Outstanding (Diluted),5,3,1,0
Shares Change,80.15%,240.49%,85753300.00%,-
EPS (Basic),0.26,-2.05,-0.03,-4000.00
EPS (Diluted),0.26,-2.05,-0.03,-4000.00
Free Cash Flow Per Share,-0.07,-0.10,-0.03,-
EBITDA,1.35,-2.32,-0.02,-0
EBIT,1.35,-2.32,-0.02,-0
