Year,2022,2021,2020
"Selling, General & Admin",0.96,0.85,0.15
Other Operating Expenses,0.09,0.11,0.03
Operating Expenses,1.05,0.96,0.17
Operating Income,-1.05,-0.96,-0.17
Other Expense / Income,-33.54,-51.69,40.41
Pretax Income,32.49,50.73,-40.59
Net Income,32.49,50.73,-40.59
Net Income Growth,-35.95%,-,-
Shares Outstanding (Basic),61,76,36
Shares Outstanding (Diluted),61,76,36
Shares Change,-19.44%,108.69%,-
EPS (Basic),0.53,0.67,-1.12
EPS (Diluted),0.53,0.67,-1.12
EPS Growth,-20.90%,-,-
Free Cash Flow Per Share,-0.01,-0.02,-0.00
EBITDA,32.49,50.73,-40.59
EBIT,32.49,50.73,-40.59
