Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,"1,832.4","1,856","1,669.3","1,489","1,285.8","1,110",969.2,825.3,723.5,682.1,Upgrade
Revenue Growth (YoY),-1.27%,11.18%,12.11%,15.80%,15.84%,14.53%,17.44%,14.07%,6.07%,11.97%,Upgrade
Cost of Revenue,527.8,47.2,594.8,106.5,82.9,152,116.2,74.7,52.8,62.7,Upgrade
Gross Profit,"1,304.6","1,808.8","1,074.5","1,382.5","1,202.9",958,853,750.6,670.7,619.4,Upgrade
"Selling, General & Admin",426.3,383.7,325.6,328.6,291.2,254,224.1,200.1,171.3,156.2,Upgrade
Operating Expenses,426.3,383.7,325.6,328.6,291.2,254,224.1,200.1,171.3,156.2,Upgrade
Operating Income,878.3,"1,425.1",748.9,"1,053.9",911.7,704,628.9,550.5,499.4,463.2,Upgrade
Interest Expense / Income,166.6,164.2,192,196.2,156.6,120.2,97.7,76,56.7,65,Upgrade
Other Expense / Income,-,-,7.4,1.8,-,-,-,-,21.8,-,Upgrade
Pretax Income,711.7,"1,260.9",549.5,855.9,755.1,583.8,531.2,474.5,420.9,398.2,Upgrade
Income Tax,175.9,302.6,128.5,199.8,181.1,113.6,198.4,174.8,154.7,145.1,Upgrade
Net Income,535.8,958.3,421,656.1,574,470.2,332.8,299.7,266.2,253.1,Upgrade
Net Income Growth,-44.09%,127.62%,-35.83%,14.30%,22.08%,41.29%,11.04%,12.58%,5.18%,15.20%,Upgrade
Shares Outstanding (Basic),14,16,18,19,19,19,20,21,22,24,Upgrade
Shares Outstanding (Diluted),14,16,18,19,20,20,20,21,22,24,Upgrade
Shares Change,-15.38%,-10.23%,-5.48%,-2.85%,-0.14%,-4.17%,-2.72%,-6.05%,-6.99%,-6.21%,Upgrade
EPS (Basic),39.50,59.57,23.57,34.71,29.52,24.12,16.37,14.35,11.96,10.61,Upgrade
EPS (Diluted),39.32,59.52,23.47,34.57,29.39,24.04,16.31,14.28,11.92,10.54,Upgrade
EPS Growth,-33.94%,153.60%,-32.11%,17.63%,22.25%,47.39%,14.22%,19.80%,13.09%,22.84%,Upgrade
Free Cash Flow Per Share,91.09,66.01,54.69,41.56,34.91,28.60,24.68,19.16,16.21,13.42,Upgrade
Gross Margin,71.20%,97.46%,64.37%,92.85%,93.55%,86.31%,88.01%,90.95%,92.70%,90.81%,Upgrade
Operating Margin,47.93%,76.78%,44.86%,70.78%,70.91%,63.42%,64.89%,66.70%,69.03%,67.91%,Upgrade
Profit Margin,29.24%,51.63%,25.22%,44.06%,44.64%,42.36%,34.34%,36.31%,36.79%,37.11%,Upgrade
Free Cash Flow Margin,67.43%,57.21%,58.51%,52.75%,52.79%,50.23%,51.76%,48.49%,49.88%,46.93%,Upgrade
Effective Tax Rate,24.72%,24.00%,23.38%,23.34%,23.98%,19.46%,37.35%,36.84%,36.75%,36.44%,Upgrade
EBITDA,903.9,"1,451.4",765.3,"1,074.5",931.2,720.4,644.2,564.7,490.8,476.4,Upgrade
EBITDA Margin,49.33%,78.20%,45.85%,72.16%,72.42%,64.90%,66.47%,68.42%,67.84%,69.84%,Upgrade
Depreciation & Amortization,25.6,26.3,23.8,22.4,19.5,16.4,15.3,14.2,13.2,13.2,Upgrade
EBIT,878.3,"1,425.1",741.5,"1,052.1",911.7,704,628.9,550.5,477.6,463.2,Upgrade
EBIT Margin,47.93%,76.78%,44.42%,70.66%,70.91%,63.42%,64.89%,66.70%,66.01%,67.91%,Upgrade
