Year,2022,2021,2020,2019
Revenue,142.43,169.49,34.7,32.42
Revenue Growth (YoY),-15.97%,388.40%,7.04%,-
Cost of Revenue,131.91,58.37,31.83,20.98
Gross Profit,10.52,111.12,2.87,11.44
"Selling, General & Admin",51.51,43.24,8.25,9.98
Other Operating Expenses,243.03,4.24,-0.09,0.37
Operating Expenses,294.54,47.48,8.16,10.35
Operating Income,-284.02,63.64,-5.29,1.09
Interest Expense / Income,-27.56,21,9.39,1.57
Other Expense / Income,-,-,1.44,-0.79
Pretax Income,-256.46,42.64,-16.12,0.31
Income Tax,-17.41,20.51,0.17,-2.59
Net Income,-239.05,22.13,-16.29,2.9
Shares Outstanding (Basic),208,158,85,67
Shares Outstanding (Diluted),208,169,85,71
Shares Change,22.66%,99.48%,19.50%,-
EPS (Basic),-1.15,0.14,-0.19,0.04
EPS (Diluted),-1.15,0.13,-0.19,0.04
Free Cash Flow Per Share,-0.71,-1.49,0.04,-0.24
Gross Margin,7.38%,65.56%,8.28%,35.28%
Operating Margin,-199.41%,37.55%,-15.24%,3.36%
Profit Margin,-167.84%,13.06%,-46.94%,8.94%
Free Cash Flow Margin,-104.07%,-138.93%,10.43%,-50.41%
Effective Tax Rate,-,48.10%,-,-841.23%
EBITDA,-211.6,88.12,4.76,8.72
EBITDA Margin,-148.57%,51.99%,13.70%,26.91%
Depreciation & Amortization,72.42,24.48,11.49,6.84
EBIT,-284.02,63.64,-6.73,1.88
EBIT Margin,-199.41%,37.55%,-19.40%,5.80%
