Year,2022,2021,2020
"Selling, General & Admin",3,2.34,0.04
Other Operating Expenses,0.23,0.2,0.11
Operating Expenses,3.23,2.54,0.15
Operating Income,-3.23,-2.54,-0.15
Other Expense / Income,-9.87,-8.09,2.13
Pretax Income,6.64,5.55,-2.28
Income Tax,0.08,0,0
Net Income,6.56,5.55,-2.28
Net Income Growth,18.27%,-,-
Shares Outstanding (Basic),13,22,5
Shares Outstanding (Diluted),13,22,5
Shares Change,-39.61%,352.25%,-
EPS (Basic),0.50,0.26,-0.48
EPS (Diluted),0.50,0.26,-0.48
EPS Growth,92.31%,-,-
Free Cash Flow Per Share,-0.02,-0.04,-0.01
Effective Tax Rate,1.18%,-,-
EBITDA,6.64,5.55,-2.28
EBIT,6.64,5.55,-2.28
