Year,2022,2021,2020,2019,2018,2017,2016,2015
Revenue,91.55,76.52,50.17,54.6,49.02,43.39,35.66,29.93
Revenue Growth (YoY),19.65%,52.51%,-8.10%,11.38%,12.99%,21.68%,19.14%,-
Gross Profit,91.55,76.52,50.17,54.6,49.02,43.39,35.66,29.93
"Selling, General & Admin",36.46,29.74,27.86,28.16,25.2,23.14,20.57,17.51
Other Operating Expenses,8.37,6.12,4.08,4.36,4.36,3.12,2.76,2.28
Operating Expenses,44.83,35.87,31.94,32.52,29.56,26.26,23.33,19.79
Operating Income,46.72,40.66,18.23,22.08,19.46,17.13,12.32,10.13
Other Expense / Income,-,-,-,-,-,-,0,-
Pretax Income,46.72,40.66,18.23,22.08,19.46,17.13,12.32,10.13
Income Tax,13.41,11.82,5.11,5.32,5.2,7.89,4.89,4.17
Net Income,33.31,28.84,13.13,16.76,14.25,9.24,7.43,5.96
Net Income Growth,15.50%,119.70%,-21.66%,17.57%,54.32%,24.39%,24.51%,-
Shares Outstanding (Basic),15,15,15,16,16,15,-,-
Shares Change,0.44%,0.25%,-3.87%,-0.51%,3.90%,-,-,-
EPS (Basic),2.15,1.89,0.85,1.04,0.92,0.68,0.55,0.44
EPS (Diluted),2.14,1.88,0.85,1.03,0.89,0.66,0.53,0.43
EPS Growth,13.83%,121.18%,-17.48%,15.73%,34.85%,24.53%,23.26%,-
Free Cash Flow Per Share,5.42,-1.94,-0.36,1.10,1.86,-0.17,-,-
Dividend Per Share,0.440,0.310,0.280,0.200,-,-,-,-
Dividend Growth,41.94%,10.71%,40.00%,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,51.03%,53.13%,36.34%,40.44%,39.69%,39.48%,34.56%,33.86%
Profit Margin,36.38%,37.69%,26.16%,30.69%,29.08%,21.29%,20.82%,19.93%
Free Cash Flow Margin,89.92%,-38.42%,-10.90%,31.58%,60.00%,-5.92%,28.95%,23.62%
Effective Tax Rate,28.71%,29.06%,28.01%,24.09%,26.75%,46.08%,39.73%,41.15%
EBITDA,48.09,41.97,19.54,23.22,20.5,18.14,13.4,11.07
EBITDA Margin,52.53%,54.85%,38.93%,42.53%,41.82%,41.80%,37.59%,37.00%
Depreciation & Amortization,1.37,1.31,1.3,1.15,1.04,1.01,1.08,0.94
EBIT,46.72,40.66,18.23,22.08,19.46,17.13,12.32,10.13
EBIT Margin,51.03%,53.13%,36.34%,40.44%,39.69%,39.48%,34.55%,33.86%
