Year,2022,2021,2020,2019,2018,2017
Revenue,319.23,217.33,327.86,534.47,424.98,342.61
Revenue Growth (YoY),46.89%,-33.71%,-38.66%,25.76%,24.04%,-
Gross Profit,319.23,217.33,327.86,534.47,424.98,342.61
"Selling, General & Admin",64.81,64.8,52.95,47.68,71.83,57.48
Other Operating Expenses,59.46,83.95,66.13,90.39,9.49,11.7
Operating Expenses,124.27,148.75,119.08,138.07,81.33,69.18
Operating Income,194.96,68.58,208.78,396.41,343.65,273.43
Interest Expense / Income,77.39,58.65,39.05,38.75,38.54,24.25
Other Expense / Income,75.5,28.96,2.95,25.2,-,-
Pretax Income,42.06,-19.02,166.78,332.46,305.11,249.18
Income Tax,11.56,9.73,23.5,31.92,-12.46,-0.12
Net Income,30.51,-28.75,143.28,300.55,317.58,249.3
Net Income Growth,-,-,-52.33%,-5.36%,27.39%,-
Shares Outstanding (Basic),219,219,219,219,-,-
Shares Outstanding (Diluted),222,219,220,219,-,-
Shares Change,1.26%,-0.27%,0.24%,-,-,-
EPS (Basic),0.14,-0.13,0.65,1.37,150.70,-
EPS (Diluted),0.14,-0.13,0.65,1.37,150.30,-
EPS Growth,-,-,-52.55%,-99.09%,-,-
Free Cash Flow Per Share,-2.13,-2.67,0.24,-1.27,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,61.07%,31.56%,63.68%,74.17%,80.86%,79.81%
Profit Margin,9.56%,-13.23%,43.70%,56.23%,74.73%,72.77%
Free Cash Flow Margin,-146.14%,-269.47%,16.31%,-51.82%,-54.92%,-
Effective Tax Rate,27.48%,-,14.09%,9.60%,-4.08%,-0.05%
EBITDA,119.45,39.62,205.83,371.21,343.65,273.43
EBITDA Margin,37.42%,18.23%,62.78%,69.45%,80.86%,79.81%
EBIT,119.45,39.62,205.83,371.21,343.65,273.43
EBIT Margin,37.42%,18.23%,62.78%,69.45%,80.86%,79.81%
