Year,2022,2021,2020,2019,2018,2017,2016
Revenue,209.39,151.31,117.01,77.49,60.15,42.71,31.48
Revenue Growth (YoY),38.38%,29.31%,51.01%,28.83%,40.83%,35.66%,-
Cost of Revenue,133.29,94.98,67.37,41.72,58.26,24.54,19.47
Gross Profit,76.1,56.33,49.65,35.77,1.89,18.17,12.01
"Selling, General & Admin",52.89,39.79,24.99,19.04,13.06,8.6,5.73
Other Operating Expenses,13.08,7.87,4.72,2.66,2.76,1.96,1.15
Operating Expenses,65.97,47.66,29.71,21.7,15.82,10.56,6.88
Operating Income,10.13,8.67,19.94,14.07,-13.93,7.61,5.14
Interest Expense / Income,5,2.85,2.31,2.39,4.27,2.47,0.41
Other Expense / Income,2.07,2.71,9.38,6.82,-9.74,5.14,-
Pretax Income,3.06,3.11,8.25,4.87,-8.45,0,4.72
Income Tax,2.5,-2.29,-1.04,1.3,0.45,0,0
Net Income,0.57,5.4,9.29,3.57,-8.9,0,4.72
Net Income Growth,-89.54%,-41.82%,160.36%,-,-,-,-
Shares Outstanding (Basic),21,19,17,15,14,14,-
Shares Outstanding (Diluted),22,21,18,16,14,15,-
Shares Change,4.61%,13.22%,14.18%,18.78%,-6.99%,-,-
EPS (Basic),0.03,0.28,0.55,0.24,-0.66,-1.96,-
EPS (Diluted),0.03,0.26,0.51,0.22,-0.66,-1.96,-
EPS Growth,-88.46%,-49.02%,131.82%,-,-,-,-
Free Cash Flow Per Share,1.10,1.04,0.85,1.15,0.59,0.52,-
Dividend Per Share,-,1.630,1.149,0.410,-,-,-
Dividend Growth,-,41.86%,180.24%,-,-,-,-
Gross Margin,36.34%,37.23%,42.43%,46.16%,3.15%,42.53%,38.16%
Operating Margin,4.84%,5.73%,17.04%,18.16%,-23.16%,17.82%,16.31%
Profit Margin,0.27%,3.57%,7.94%,4.60%,-14.80%,-,15.00%
Free Cash Flow Margin,11.04%,13.24%,12.20%,22.13%,13.35%,16.60%,11.84%
Effective Tax Rate,81.56%,-73.67%,-12.54%,26.77%,-,-,-
EBITDA,17.17,17.03,27.76,9.4,-1.67,3.35,5.62
EBITDA Margin,8.20%,11.26%,23.72%,12.14%,-2.77%,7.84%,17.86%
Depreciation & Amortization,9.11,11.07,17.19,2.15,2.52,0.88,0.49
EBIT,8.06,5.97,10.56,7.26,-4.19,2.47,5.14
EBIT Margin,3.85%,3.94%,9.03%,9.37%,-6.96%,5.79%,16.31%
