Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,"3,112","3,380","2,651","1,819","1,935","1,332.53","1,270.53","1,162.05","1,150.76","1,166.95",Upgrade
Revenue Growth (YoY),-7.93%,27.50%,45.74%,-5.99%,45.21%,4.88%,9.34%,0.98%,-1.39%,-8.97%,Upgrade
Gross Profit,"3,112","3,380","2,651","1,819","1,935","1,332.53","1,270.53","1,162.05","1,150.76","1,166.95",Upgrade
"Selling, General & Admin","1,477","1,603","1,348",953,894,735.52,709.55,659.4,637.23,713.37,Upgrade
Other Operating Expenses,476,493,370,280,327,288.14,215.65,394.39,195.31,435.15,Upgrade
Operating Expenses,"1,953","2,096","1,718","1,233","1,221","1,023.66",925.2,"1,053.79",832.53,"1,148.52",Upgrade
Operating Income,"1,159","1,284",933,586,714,308.87,345.32,108.25,318.23,18.43,Upgrade
Other Expense / Income,12,11,12,11,12,11.47,11.47,11.43,11.53,10.92,Upgrade
Pretax Income,"1,147","1,273",921,575,702,297.41,333.86,96.82,306.7,7.52,Upgrade
Income Tax,247,274,76,134,157,131.89,106.81,10.94,84.19,-19.39,Upgrade
Net Income,900,999,845,441,545,165.52,227.05,85.88,222.52,26.9,Upgrade
Preferred Dividends,32,37,23,6,6,6.2,6.2,6.2,6.2,5.84,Upgrade
Net Income Common,868,962,822,435,539,159.32,220.85,79.68,216.32,21.07,Upgrade
Net Income Growth,-9.77%,17.03%,88.97%,-19.29%,238.32%,-27.86%,177.17%,-63.17%,926.86%,-,Upgrade
Shares Outstanding (Basic),535,546,432,314,324,241,233,234,235,238,Upgrade
Shares Outstanding (Diluted),566,551,434,316,327,244,235,236,237,240,Upgrade
Shares Change,2.68%,27.10%,37.40%,-3.60%,33.95%,3.89%,-0.41%,-0.20%,-1.28%,-3.44%,Upgrade
EPS (Basic),1.62,1.76,1.90,1.39,1.66,0.66,0.95,0.34,0.92,0.09,Upgrade
EPS (Diluted),1.53,1.74,1.89,1.38,1.65,0.65,0.94,0.34,0.91,0.09,Upgrade
EPS Growth,-12.07%,-7.94%,36.96%,-16.36%,153.85%,-30.85%,176.47%,-62.64%,911.11%,-,Upgrade
Free Cash Flow Per Share,4.30,1.34,0.29,2.55,0.67,-0.33,0.55,1.57,2.88,1.70,Upgrade
Dividend Per Share,0.600,0.600,0.600,0.560,0.480,0.360,0.280,0.240,0.200,0.200,Upgrade
Dividend Growth,0%,0%,7.14%,16.67%,33.33%,28.57%,16.67%,20.00%,0%,400.00%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,37.24%,37.99%,35.19%,32.22%,36.90%,23.18%,27.18%,9.32%,27.65%,1.58%,Upgrade
Profit Margin,27.89%,28.46%,31.01%,23.91%,27.86%,11.96%,17.38%,6.86%,18.80%,1.81%,Upgrade
Free Cash Flow Margin,73.94%,21.60%,4.75%,44.04%,11.16%,-5.89%,10.14%,31.72%,58.81%,34.69%,Upgrade
Effective Tax Rate,21.53%,21.52%,8.25%,23.30%,22.36%,44.35%,31.99%,11.30%,27.45%,-258.00%,Upgrade
EBITDA,"1,257","1,390","1,013",644,775,340.84,371.44,137.85,346.59,47.94,Upgrade
EBITDA Margin,40.39%,41.12%,38.21%,35.40%,40.05%,25.58%,29.24%,11.86%,30.12%,4.11%,Upgrade
Depreciation & Amortization,110,117,92,69,73,43.43,37.59,41.03,39.89,40.43,Upgrade
EBIT,"1,147","1,273",921,575,702,297.41,333.86,96.82,306.7,7.52,Upgrade
EBIT Margin,36.86%,37.66%,34.74%,31.61%,36.28%,22.32%,26.28%,8.33%,26.65%,0.64%,Upgrade
