Year,2022,2021,2020,2019,2017,2016,2015,2014,2013
Revenue,"2,464","3,318","2,689","1,927",7.89,5.4,6,8.55,10.17
Revenue Growth (YoY),-25.74%,23.39%,39.54%,24323.32%,46.22%,-10.07%,-29.81%,-15.93%,-
Cost of Revenue,0,0,0,0,0.02,-0.67,-1.12,3.28,-6.16
Gross Profit,"2,464","3,318","2,689","1,927",7.87,6.07,7.12,5.27,16.33
"Selling, General & Admin","1,274","1,662","1,782","1,714",14.46,7.04,20.94,6.53,5.67
Other Operating Expenses,0,0,0,0,-5.89,-3.67,-2.47,-26.55,-4.57
Operating Expenses,"1,274","1,662","1,782","1,714",8.57,3.37,18.47,-20.03,1.09
Operating Income,"1,190","1,656",907,213,-0.7,2.69,-11.36,25.3,15.24
Interest Expense / Income,424,478,528,543,1.79,2.62,3.7,22.23,14.9
Other Expense / Income,-448,-747,-19,-326,-28.37,-201.62,46.78,-,-
Pretax Income,"1,214","1,925",398,-4,25.88,201.7,-61.83,3.07,0.34
Income Tax,291,471,93,-278,0,0,0,0,0
Net Income,923,"1,454",305,274,25.88,201.7,-61.83,3.07,0.34
Preferred Dividends,0,36,3,2,18.05,18,17.75,9.46,0
Net Income Common,923,"1,418",302,272,7.83,183.7,-79.58,-6.39,0.34
Net Income Growth,-34.91%,369.54%,11.03%,3372.93%,-95.74%,-,-,-,-
Shares Outstanding (Basic),71,75,91,91,17,17,17,17,17
Shares Outstanding (Diluted),-,-,-,-,18,20,17,17,17
Shares Change,-6.07%,-17.31%,-0.26%,413.99%,-9.66%,16.68%,0.44%,0.28%,-
EPS (Basic),12.84,17.24,3.31,2.99,0.12,3.96,-4.68,-0.36,-
EPS (Diluted),12.50,16.53,3.20,2.95,0.12,3.60,-4.68,-0.36,-
EPS Growth,-24.38%,416.56%,8.47%,2358.33%,-96.67%,-,-,-,-
Free Cash Flow Per Share,53.14,34.49,3.02,7.13,-0.38,-0.39,-0.84,-2.01,-1.45
Gross Margin,100.00%,100.00%,100.00%,100.00%,99.76%,112.40%,118.58%,61.62%,160.57%
Operating Margin,48.30%,49.91%,33.73%,11.05%,-8.81%,49.93%,-189.25%,295.92%,149.83%
Profit Margin,37.46%,42.74%,11.23%,14.12%,99.26%,3404.37%,-1326.35%,-74.70%,3.32%
Free Cash Flow Margin,152.19%,78.09%,10.19%,33.68%,-81.33%,-121.15%,-236.33%,-392.85%,-238.26%
Effective Tax Rate,23.97%,24.47%,23.37%,-,-,-,-,-,-
EBITDA,"1,675","2,460",999,629,27.67,204.32,-58.13,25.3,15.24
EBITDA Margin,67.98%,74.14%,37.15%,32.64%,350.70%,3786.43%,-968.85%,295.92%,149.83%
Depreciation & Amortization,37,57,73,90,0,0,0,0,0
EBIT,"1,638","2,403",926,539,27.67,204.32,-58.13,25.3,15.24
EBIT Margin,66.48%,72.42%,34.44%,27.97%,350.70%,3786.43%,-968.85%,295.92%,149.83%
