Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Revenue,819.2,639.78,459.89,315.89,222.11,186.78,141.62,80.6,63.68,48.48
Revenue Growth (YoY),28.04%,39.12%,45.59%,42.22%,18.92%,31.89%,75.71%,26.57%,31.33%,-
Cost of Revenue,457.91,324.42,263.8,169.56,128.04,103.68,70.96,42.24,41.11,28.89
Gross Profit,361.29,315.36,196.08,146.33,94.07,83.1,70.65,38.36,22.57,19.59
"Selling, General & Admin",160.72,124.9,94.3,70.22,53.43,44.15,28.55,2.81,1.45,6.89
Other Operating Expenses,0.72,0.67,1.21,0.06,0.17,0.43,2.57,1.99,1.64,0.6
Operating Expenses,161.44,125.57,95.5,70.27,53.59,44.58,31.12,4.8,3.1,7.49
Operating Income,199.85,189.8,100.58,76.05,40.48,38.52,39.54,33.56,19.47,12.1
Interest Expense / Income,4.28,0.99,0.17,0,0,0,0,0,0,0
Pretax Income,195.56,188.8,100.41,76.05,40.48,38.52,39.54,33.56,19.47,12.1
Income Tax,36.45,36.14,11.99,12.74,6.69,13.62,13.37,11.28,6.5,-0.16
Net Income,159.11,152.66,88.42,63.32,33.79,24.9,26.17,22.27,12.97,12.27
Net Income Growth,4.23%,72.65%,39.65%,87.40%,35.69%,-4.84%,17.48%,71.69%,5.76%,-
Shares Outstanding (Basic),23,23,22,22,21,21,36,14,14,15
Shares Outstanding (Diluted),23,23,23,22,22,21,37,14,14,15
Shares Change,0.27%,0.92%,3.23%,2.08%,0.87%,-41.20%,165.01%,0.07%,-7.21%,-
EPS (Basic),6.97,6.73,3.96,2.94,1.60,1.19,0.57,-,-,0.89
EPS (Diluted),6.88,6.62,3.87,2.86,1.56,1.16,0.56,-,-,0.89
EPS Growth,3.93%,71.06%,35.31%,83.33%,34.48%,107.14%,-,-,-,-
Free Cash Flow Per Share,24.15,17.68,11.30,7.37,4.87,3.68,2.02,5.69,5.73,4.17
Dividend Per Share,0.520,0.440,0.360,0.320,0.280,0.240,0.100,-,-,-
Dividend Growth,18.18%,22.22%,12.50%,14.29%,16.67%,140.00%,-,-,-,-
Gross Margin,44.10%,49.29%,42.64%,46.32%,42.35%,44.49%,49.89%,47.59%,35.44%,40.41%
Operating Margin,24.40%,29.67%,21.87%,24.08%,18.22%,20.62%,27.92%,41.64%,30.58%,24.96%
Profit Margin,19.42%,23.86%,19.23%,20.04%,15.21%,13.33%,18.48%,27.64%,20.37%,25.30%
Free Cash Flow Margin,67.25%,62.70%,54.83%,50.25%,46.24%,41.34%,51.67%,97.36%,124.08%,127.02%
Effective Tax Rate,18.64%,19.14%,11.94%,16.75%,16.53%,35.36%,33.81%,33.63%,33.38%,-1.36%
EBITDA,202.57,192.1,102.16,76.73,41.11,39.04,40.17,34.2,20.04,12.55
EBITDA Margin,24.73%,30.03%,22.21%,24.29%,18.51%,20.90%,28.37%,42.43%,31.48%,25.89%
Depreciation & Amortization,2.72,2.31,1.57,0.68,0.63,0.52,0.64,0.64,0.57,0.45
EBIT,199.85,189.8,100.58,76.05,40.48,38.52,39.54,33.56,19.47,12.1
EBIT Margin,24.40%,29.67%,21.87%,24.08%,18.22%,20.62%,27.92%,41.64%,30.58%,24.96%
