Year,2022,2021,2020
"Selling, General & Admin",3.34,6.02,0.16
Operating Expenses,3.34,6.02,0.16
Operating Income,-3.34,-6.02,-0.16
Other Expense / Income,-12.72,-21.25,6.96
Pretax Income,9.38,15.23,-7.12
Income Tax,0.04,0,0
Net Income,9.34,15.23,-7.12
Net Income Growth,-38.64%,-,-
Shares Outstanding (Basic),12,38,13
Shares Outstanding (Diluted),12,38,13
Shares Change,-67.84%,194.03%,-
EPS (Basic),0.77,0.41,-0.56
EPS (Diluted),0.77,0.41,-0.56
EPS Growth,87.80%,-,-
Free Cash Flow Per Share,-0.03,-0.02,-0.05
Effective Tax Rate,0.41%,-,-
EBITDA,9.38,15.23,-7.12
EBIT,9.38,15.23,-7.12
