Year,2022,2021,2020,2019
Revenue,31.08,11.47,14.05,0
Revenue Growth (YoY),171.00%,-18.36%,-,-
Cost of Revenue,18.82,3.87,4.67,0
Gross Profit,12.26,7.6,9.37,0
"Selling, General & Admin",39.26,15.15,10.38,0.34
Other Operating Expenses,1.21,0.41,0,0
Operating Expenses,40.47,15.57,10.38,0.34
Operating Income,-28.21,-7.96,-1,-0.34
Interest Expense / Income,0.14,0.48,0.87,0
Other Expense / Income,16.04,-128.42,13.59,-0.54
Pretax Income,-44.4,119.97,-15.46,0.2
Income Tax,0.12,23.51,0.68,0
Net Income,-44.52,96.46,-16.14,0.2
Shares Outstanding (Basic),56,56,6,4
Shares Outstanding (Diluted),56,56,6,4
Shares Change,1.05%,828.87%,50.68%,-
EPS (Basic),-0.79,1.74,-0.01,-0.81
EPS (Diluted),-0.79,1.74,-0.01,-0.81
Free Cash Flow Per Share,-0.36,-0.04,3.67,-0.09
Gross Margin,39.44%,66.29%,66.74%,-
Operating Margin,-90.77%,-69.43%,-7.13%,-
Profit Margin,-143.24%,841.11%,-114.91%,-
Free Cash Flow Margin,-65.23%,-18.81%,156.34%,-
Effective Tax Rate,-,19.59%,-,-
EBITDA,-43.86,120.5,-14.52,0.2
EBITDA Margin,-141.13%,1050.68%,-103.40%,-
Depreciation & Amortization,0.39,0.05,0.07,0
EBIT,-44.26,120.45,-14.59,0.2
EBIT Margin,-142.39%,1050.28%,-103.86%,-
