Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,653.11,585.64,493.09,569.76,572.08,515.39,486.63,483.77,510.98,475.22,Upgrade
Revenue Growth (YoY),11.52%,18.77%,-13.46%,-0.41%,11.00%,5.91%,0.59%,-5.33%,7.52%,0.31%,Upgrade
Gross Profit,653.11,585.64,493.09,569.76,572.08,515.39,486.63,483.77,510.98,475.22,Upgrade
"Selling, General & Admin",169.26,161.58,171.78,199.97,187.93,182.69,176.73,173.02,172.71,171.79,Upgrade
Other Operating Expenses,101.21,101.73,109.55,109.83,111.58,105.29,105.5,99.44,96.52,107.16,Upgrade
Operating Expenses,270.47,263.32,281.33,309.8,299.5,287.98,282.23,272.46,269.23,278.96,Upgrade
Operating Income,382.64,322.33,211.76,259.95,272.58,227.41,204.4,211.31,241.76,196.27,Upgrade
Other Expense / Income,-,-,-,-,-,5.77,7.4,4.46,11.82,13.68,Upgrade
Pretax Income,382.64,322.33,211.76,259.95,272.58,221.64,197,206.84,229.94,182.59,Upgrade
Income Tax,82.41,68.41,44.44,54.85,56.65,64.21,63.07,70.12,76.79,56.24,Upgrade
Net Income,300.23,253.92,167.32,205.1,215.93,157.44,133.93,136.73,153.15,126.35,Upgrade
Net Income Growth,18.24%,51.76%,-18.42%,-5.01%,37.15%,17.55%,-2.04%,-10.72%,21.21%,35.17%,Upgrade
Shares Outstanding (Basic),63,63,64,65,66,66,66,66,67,67,Upgrade
Shares Outstanding (Diluted),63,63,64,66,67,67,66,67,67,67,Upgrade
Shares Change,-1.07%,-0.57%,-2.79%,-1.42%,-0.22%,0.70%,-0.48%,-0.63%,-0.38%,0.00%,Upgrade
EPS (Basic),4.79,4.01,2.63,3.13,3.27,2.38,2.03,2.06,2.29,1.88,Upgrade
EPS (Diluted),4.78,4.00,2.62,3.12,3.24,2.36,2.02,2.05,2.28,1.88,Upgrade
EPS Growth,19.50%,52.67%,-16.03%,-3.70%,37.29%,16.83%,-1.46%,-10.09%,21.28%,35.25%,Upgrade
Free Cash Flow Per Share,6.10,4.62,4.70,4.33,3.22,2.80,2.55,2.84,2.26,2.41,Upgrade
Dividend Per Share,1.200,1.150,1.100,1.050,0.750,0.660,0.600,0.580,0.520,0.430,Upgrade
Dividend Growth,4.35%,4.55%,4.76%,40.00%,13.64%,10.00%,3.45%,11.54%,20.93%,7.50%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,58.59%,55.04%,42.95%,45.63%,47.65%,44.12%,42.00%,43.68%,47.31%,41.30%,Upgrade
Profit Margin,45.97%,43.36%,33.93%,36.00%,37.74%,30.55%,27.52%,28.26%,29.97%,26.59%,Upgrade
Free Cash Flow Margin,58.52%,49.99%,60.70%,49.82%,37.23%,35.84%,34.54%,38.93%,29.57%,34.01%,Upgrade
Effective Tax Rate,21.54%,21.22%,20.99%,21.10%,20.78%,28.97%,32.02%,33.90%,33.39%,30.80%,Upgrade
EBITDA,404.46,347.36,240.08,288.22,298.46,246.92,221.74,231.85,253.95,208.61,Upgrade
EBITDA Margin,61.93%,59.31%,48.69%,50.59%,52.17%,47.91%,45.57%,47.93%,49.70%,43.90%,Upgrade
Depreciation & Amortization,21.82,25.03,28.32,28.27,25.87,25.28,24.74,25.01,24.01,26.02,Upgrade
EBIT,382.64,322.33,211.76,259.95,272.58,221.64,197,206.84,229.94,182.59,Upgrade
EBIT Margin,58.59%,55.04%,42.95%,45.63%,47.65%,43.00%,40.48%,42.76%,45.00%,38.42%,Upgrade
