Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Revenue,84.39,43.86,4.45,0,0,0,0,0,0,0,Upgrade
Revenue Growth (YoY),92.39%,885.93%,-,-,-,-,-,-,-,-,Upgrade
Cost of Revenue,47.71,9.9,3.16,0,0,0,0,0,0,0,Upgrade
Gross Profit,36.67,33.96,1.29,0,0,0,0,0,0,0,Upgrade
"Selling, General & Admin",25.85,16.06,2.48,2.68,2.94,1.03,0.79,0.61,0.43,1.51,Upgrade
Research & Development,0,0,0,0.49,0.69,0.45,0.24,1.2,0.72,1.76,Upgrade
Other Operating Expenses,66.21,60.57,4.62,0,0,0,0,0,0,0,Upgrade
Operating Expenses,92.06,76.63,7.1,3.17,3.63,1.48,1.03,1.81,1.15,3.27,Upgrade
Operating Income,-55.39,-42.67,-5.81,-3.17,-3.63,-1.48,-1.03,-1.81,-1.15,-3.27,Upgrade
Interest Expense / Income,6.06,1.64,0,0.28,0,0,0.11,0.04,0.05,-0.43,Upgrade
Other Expense / Income,-8.69,0.37,-0.91,-,-0.35,1.49,-,-,-,-,Upgrade
Pretax Income,-52.76,-44.69,-4.91,-3.45,-3.28,-2.97,-1.14,-1.86,-1.2,-2.84,Upgrade
Income Tax,0,0.28,0.13,0,0,0,0,0,0,0,Upgrade
Net Income,-52.76,-44.96,-5.03,-3.45,-3.28,-2.97,-1.14,-1.86,-1.2,-2.84,Upgrade
Preferred Dividends,0,0,0,0.45,0.29,0,0,0,0,0,Upgrade
Net Income Common,-52.76,-44.96,-5.03,-3.9,-3.57,-2.97,-1.14,-1.86,-1.2,-2.84,Upgrade
Shares Outstanding (Basic),13,9,1,0,0,0,0,0,0,0,Upgrade
Shares Outstanding (Diluted),13,9,1,0,0,0,0,0,0,0,Upgrade
Shares Change,35.29%,693.25%,574.72%,86.21%,64.28%,13.76%,388.48%,42.24%,-,-4.39%,Upgrade
EPS (Basic),-4.16,-4.79,-4.26,-21.60,-36.60,-51.60,-22.80,-172.80,-158.40,-388.80,Upgrade
EPS (Diluted),-4.16,-4.79,-4.26,-21.60,-36.60,-51.60,-22.80,-172.80,-158.40,-388.80,Upgrade
Free Cash Flow Per Share,-1.45,-11.14,-4.81,-11.77,-23.50,-23.87,-17.37,-49.55,-56.96,-112.54,Upgrade
Gross Margin,43.46%,77.42%,29.07%,-,-,-,-,-,-,-,Upgrade
Operating Margin,-65.64%,-97.28%,-130.61%,-,-,-,-,-,-,-,Upgrade
Profit Margin,-62.53%,-102.51%,-113.16%,-,-,-,-,-,-,-,Upgrade
Free Cash Flow Margin,-21.86%,-238.30%,-127.96%,-,-,-,-,-,-,-,Upgrade
EBITDA,18.12,-28.44,-0.28,-3.17,-3.28,-2.97,-1.03,-1.81,-1.15,-3.27,Upgrade
EBITDA Margin,21.47%,-64.83%,-6.40%,-,-,-,-,-,-,-,Upgrade
Depreciation & Amortization,64.82,14.61,4.62,0,0,0,0,0,0,0,Upgrade
EBIT,-46.7,-43.04,-4.91,-3.17,-3.28,-2.97,-1.03,-1.81,-1.15,-3.27,Upgrade
EBIT Margin,-55.34%,-98.13%,-110.27%,-,-,-,-,-,-,-,Upgrade
