Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,308.31,245.88,206.09,190.58,185.84,173.45,159.68,143.56,104.6,164.37,Upgrade
Revenue Growth (YoY),25.39%,19.31%,8.14%,2.55%,7.14%,8.63%,11.23%,37.25%,-36.37%,34.71%,Upgrade
Gross Profit,308.31,245.88,206.09,190.58,185.84,173.45,159.68,143.56,104.6,164.37,Upgrade
"Selling, General & Admin",81.81,73.42,61.4,51.86,49.8,42.69,40.34,37.57,33.59,31.76,Upgrade
Other Operating Expenses,0.82,0,0,0.06,0.02,0.07,-0.02,-2.09,-2.1,1.35,Upgrade
Operating Expenses,82.63,73.42,61.4,51.93,49.82,42.77,40.32,35.48,31.49,33.11,Upgrade
Operating Income,225.68,172.46,144.68,138.65,136.02,130.69,119.36,108.08,73.11,131.27,Upgrade
Other Expense / Income,-,-,-,-,-,-0.17,-0.03,5.14,22.19,22.19,Upgrade
Pretax Income,225.68,172.46,144.68,138.65,136.02,130.85,119.39,102.94,50.91,109.08,Upgrade
Income Tax,47.54,36.37,30.31,29.11,27.94,46.37,42.06,34.24,2.82,33.75,Upgrade
Net Income,178.14,136.09,114.38,109.55,108.08,84.48,77.33,68.7,48.09,75.33,Upgrade
Preferred Dividends,27.17,24.68,19.47,15.9,13.18,13.18,13.18,21.33,9.84,3.5,Upgrade
Net Income Common,150.98,111.41,94.9,93.65,94.9,71.3,64.15,47.37,38.25,71.83,Upgrade
Net Income Growth,35.51%,17.39%,1.34%,-1.32%,33.10%,11.14%,35.42%,23.84%,-46.75%,63.65%,Upgrade
Shares Outstanding (Basic),11,11,11,11,11,11,10,11,11,11,Upgrade
Shares Change,0.32%,0.28%,0.23%,0.40%,0.48%,1.28%,-3.63%,-0.53%,0.66%,3.38%,Upgrade
EPS (Basic),14.00,10.36,8.85,8.76,8.91,6.73,6.12,4.33,3.50,6.64,Upgrade
EPS (Diluted),13.87,10.27,8.80,8.69,8.83,6.60,5.97,4.19,3.37,6.41,Upgrade
EPS Growth,35.05%,16.70%,1.27%,-1.59%,33.79%,10.55%,42.48%,24.33%,-47.43%,61.06%,Upgrade
Free Cash Flow Per Share,74.93,40.53,-8.81,-1.84,18.75,16.48,20.29,17.00,14.18,28.90,Upgrade
Dividend Per Share,3.800,3.520,3.200,2.800,2.320,1.440,1.040,0.640,0.560,0.480,Upgrade
Dividend Growth,7.95%,10.00%,14.29%,20.69%,61.11%,38.46%,62.50%,14.29%,16.67%,20.00%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,73.20%,70.14%,70.21%,72.75%,73.19%,75.34%,74.75%,75.28%,69.89%,79.86%,Upgrade
Profit Margin,48.97%,45.31%,46.05%,49.14%,51.06%,41.11%,40.18%,33.00%,36.57%,43.70%,Upgrade
Free Cash Flow Margin,262.49%,177.49%,-45.88%,-10.34%,107.64%,100.90%,133.20%,128.79%,148.24%,191.02%,Upgrade
Effective Tax Rate,21.06%,21.09%,20.95%,20.99%,20.54%,35.44%,35.23%,33.26%,5.55%,30.94%,Upgrade
EBITDA,225.68,172.46,144.68,138.65,136.02,130.85,119.39,102.94,50.91,109.08,Upgrade
EBITDA Margin,73.20%,70.14%,70.21%,72.75%,73.19%,75.44%,74.77%,71.70%,48.68%,66.36%,Upgrade
EBIT,225.68,172.46,144.68,138.65,136.02,130.85,119.39,102.94,50.91,109.08,Upgrade
EBIT Margin,73.20%,70.14%,70.21%,72.75%,73.19%,75.44%,74.77%,71.70%,48.68%,66.36%,Upgrade
