Year,2022,2021,2020,2019,2018
Revenue,726.29,632.67,540.82,587.26,555.54
Revenue Growth (YoY),14.80%,16.98%,-7.91%,5.71%,-
Gross Profit,726.29,632.67,540.82,587.26,555.54
"Selling, General & Admin",405.76,395.96,349.76,344.25,331.19
Other Operating Expenses,63.84,48,155.16,68.43,66.74
Operating Expenses,469.6,443.96,504.92,412.68,397.93
Operating Income,256.69,188.71,35.9,174.58,157.61
Pretax Income,256.69,188.71,35.9,174.58,157.61
Income Tax,56.93,34.05,13.16,39.48,34.88
Net Income,199.76,154.67,22.74,135.1,122.73
Net Income Growth,29.16%,580.20%,-83.17%,10.08%,-
Shares Outstanding (Basic),177,187,187,-,-
Shares Change,-5.40%,-,-,-,-
EPS (Basic),1.21,0.90,0.13,-,-
EPS (Diluted),1.21,0.90,0.13,-,-
EPS Growth,34.44%,592.31%,-,-,-
Free Cash Flow Per Share,1.35,1.02,0.35,-,-
Dividend Per Share,0.400,0.300,-,-,-
Dividend Growth,33.33%,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,35.34%,29.83%,6.64%,29.73%,28.37%
Profit Margin,27.50%,24.45%,4.20%,23.00%,22.09%
Free Cash Flow Margin,32.86%,30.15%,11.96%,32.19%,35.28%
Effective Tax Rate,22.18%,18.04%,36.66%,22.61%,22.13%
EBITDA,284.66,215.89,63.81,194.06,177.68
EBITDA Margin,39.19%,34.12%,11.80%,33.04%,31.98%
Depreciation & Amortization,27.97,27.18,27.91,19.48,20.07
EBIT,256.69,188.71,35.9,174.58,157.61
EBIT Margin,35.34%,29.83%,6.64%,29.73%,28.37%
