Year,2022,2021,2020
Revenue,10.64,17.04,1.96
Revenue Growth (YoY),-37.56%,770.62%,-
Cost of Revenue,9.5,15.77,1.06
Gross Profit,1.14,1.26,0.9
"Selling, General & Admin",7.18,17.16,0.23
Research & Development,0.48,0.42,0.35
Other Operating Expenses,0.95,0.14,0.04
Operating Expenses,8.61,17.72,0.62
Operating Income,-7.47,-16.45,0.28
Other Expense / Income,1.38,0.23,-0.17
Pretax Income,-8.85,-16.68,0.46
Income Tax,0,0.02,0.05
Net Income,-8.85,-16.7,0.4
Shares Outstanding (Basic),19,12,12
Shares Outstanding (Diluted),19,12,12
Shares Change,54.44%,-,-
EPS (Basic),-0.46,-1.43,-
EPS (Diluted),-0.46,-1.43,-
Free Cash Flow Per Share,-0.35,-0.40,-0.11
Gross Margin,10.72%,7.42%,46.09%
Operating Margin,-70.17%,-96.56%,14.41%
Profit Margin,-83.15%,-98.04%,20.59%
Free Cash Flow Margin,-63.68%,-29.07%,-69.49%
Effective Tax Rate,-,-,11.62%
EBITDA,-7.18,-16.37,0.54
EBITDA Margin,-67.52%,-96.09%,27.54%
Depreciation & Amortization,1.66,0.31,0.08
EBIT,-8.85,-16.68,0.46
EBIT Margin,-83.15%,-97.90%,23.30%
