Year,2022,2021,2020,2019,2018,2017,2016
Revenue,291.69,281.92,234.4,199.78,179.05,150.53,143.53
Revenue Growth (YoY),3.47%,20.27%,17.33%,11.58%,18.95%,4.88%,-
Gross Profit,291.69,281.92,234.4,199.78,179.05,150.53,143.53
"Selling, General & Admin",142.38,121.96,122.5,104.37,98.51,82.63,75.99
Other Operating Expenses,32.44,30.92,34.48,24.33,46.88,20.82,17.78
Operating Expenses,174.82,152.89,156.98,128.7,145.39,103.45,93.77
Operating Income,116.88,129.03,77.42,71.08,33.66,47.08,49.76
Other Expense / Income,-,2.85,1.16,-,-,-,-
Pretax Income,116.88,126.18,76.26,71.08,33.66,47.08,49.76
Income Tax,30.7,34.13,18.65,16.37,10.92,16.01,16.8
Net Income,86.17,92.05,57.6,54.72,22.74,31.07,32.95
Net Income Growth,-6.38%,59.80%,5.27%,140.66%,-26.83%,-5.71%,-
Shares Outstanding (Basic),106,104,110,111,111,101,-
Shares Outstanding (Diluted),106,104,110,111,111,-,-
Shares Change,1.96%,-5.10%,-1.21%,-0.26%,10.54%,-,-
EPS (Basic),0.82,0.88,0.52,0.49,0.20,-,-
EPS (Diluted),0.81,0.88,0.52,0.49,0.20,-,-
EPS Growth,-7.95%,69.23%,6.12%,145.00%,-,-,-
Free Cash Flow Per Share,1.29,0.91,0.41,0.02,0.39,0.29,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,40.07%,45.77%,33.03%,35.58%,18.80%,31.28%,34.67%
Profit Margin,29.54%,32.65%,24.58%,27.39%,12.70%,20.64%,22.96%
Free Cash Flow Margin,46.87%,33.73%,18.95%,1.24%,24.20%,19.62%,38.55%
Effective Tax Rate,26.27%,27.05%,24.46%,23.02%,32.45%,34.00%,33.77%
EBITDA,130.23,137.82,86.62,76.08,37.41,50.55,53.04
EBITDA Margin,44.65%,48.89%,36.95%,38.08%,20.89%,33.58%,36.95%
Depreciation & Amortization,13.35,11.64,10.36,4.99,3.75,3.47,3.28
EBIT,116.88,126.18,76.26,71.08,33.66,47.08,49.76
EBIT Margin,40.07%,44.76%,32.53%,35.58%,18.80%,31.28%,34.67%
