Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Revenue,5.48,4.72,1.75,1.01,0.11,0.02,0.04,0.09,0,0.01,Upgrade
Revenue Growth (YoY),16.09%,169.22%,73.00%,811.76%,416.88%,-52.07%,-52.07%,1901.11%,-42.43%,24.82%,Upgrade
Cost of Revenue,0.11,0.76,0.01,0.03,0.02,0,0.12,0.07,0,0,Upgrade
Gross Profit,5.37,3.96,1.74,0.99,0.09,0.02,-0.07,0.03,0,0.01,Upgrade
"Selling, General & Admin",5.51,3.68,0.14,0.12,0.12,0.03,0.26,0.66,0.01,0.01,Upgrade
Other Operating Expenses,0.89,0.69,0.46,0.24,0.16,0.55,0.38,0.22,0,0,Upgrade
Operating Expenses,6.4,4.36,0.6,0.36,0.28,0.57,0.64,0.88,0.01,0.01,Upgrade
Operating Income,-1.03,-0.4,1.15,0.62,-0.19,-0.55,-0.71,-0.85,-0.01,-0.01,Upgrade
Interest Expense / Income,0.13,0.09,0.02,0.02,0.07,0.12,0.11,0.08,0.02,0.02,Upgrade
Other Expense / Income,-5.21,-2.57,0.7,0.02,-0.39,0.16,0.02,-0.44,-,-,Upgrade
Pretax Income,4.05,2.08,0.42,0.59,0.13,-0.83,-0.84,-0.49,-0.03,-0.03,Upgrade
Income Tax,0.54,0.61,-0.18,0,0,0,0,0,0,0,Upgrade
Net Income,3.5,1.47,0.6,0.58,0.13,-0.83,-0.84,-0.49,-0.03,-0.03,Upgrade
Net Income Growth,138.39%,142.98%,3.77%,344.51%,-,-,-,-,-,-,Upgrade
Shares Outstanding (Basic),3,1,0,0,0,0,0,0,0,0,Upgrade
Shares Outstanding (Diluted),3,2,0,0,0,0,0,0,0,0,Upgrade
Shares Change,66.85%,309.49%,8.47%,16.32%,24.50%,1.22%,1.21%,-,-,-,Upgrade
EPS (Basic),1.31,1.18,1.50,-,-,-,-,-,-,-,Upgrade
EPS (Diluted),1.27,0.89,1.50,-,-,-,-,-,-,-,Upgrade
EPS Growth,42.70%,-40.67%,-,-,-,-,-,-,-,-,Upgrade
Free Cash Flow Per Share,-1.13,-2.60,-0.01,0.08,-0.16,-0.06,-0.09,-0.32,-0.08,-0.07,Upgrade
Gross Margin,97.99%,83.92%,99.37%,97.51%,78.52%,100.00%,-158.18%,28.91%,73.46%,90.08%,Upgrade
Operating Margin,-18.81%,-8.50%,65.42%,61.60%,-172.76%,-2552.74%,-1575.91%,-909.10%,-208.27%,-92.24%,Upgrade
Profit Margin,63.92%,31.13%,34.49%,57.51%,117.95%,-3850.29%,-1862.55%,-518.70%,-598.10%,-324.47%,Upgrade
Free Cash Flow Margin,-54.86%,-68.86%,-0.21%,3.01%,-45.12%,-65.92%,-48.42%,-86.26%,-430.69%,-207.83%,Upgrade
Effective Tax Rate,13.44%,29.43%,-42.37%,0.64%,-,-,-,-,-,-,Upgrade
EBITDA,4.17,2.17,0.44,0.61,0.2,-0.33,-0.34,-0.19,-0.01,-0.01,Upgrade
EBITDA Margin,76.15%,45.96%,25.30%,59.79%,180.46%,-1542.50%,-760.23%,-199.31%,-208.27%,-92.24%,Upgrade
Depreciation & Amortization,0,0,0,0,0,0.38,0.38,0.22,0,0,Upgrade
EBIT,4.17,2.17,0.44,0.61,0.2,-0.71,-0.72,-0.41,-0.01,-0.01,Upgrade
EBIT Margin,76.15%,45.96%,25.30%,59.79%,180.46%,-3314.21%,-1609.34%,-436.71%,-208.27%,-92.24%,Upgrade
