Year,2022,2021,2020,2019
Revenue,15.9,15.28,11.97,10.72
Revenue Growth (YoY),4.06%,27.59%,11.74%,-
Gross Profit,15.9,15.28,11.97,10.72
"Selling, General & Admin",8.84,8.25,8.33,5.99
Other Operating Expenses,4.62,3.56,3.3,3.16
Operating Expenses,13.46,11.81,11.63,9.14
Operating Income,2.44,3.46,0.35,1.57
Pretax Income,2.44,3.46,0.35,1.57
Income Tax,0.68,0.82,0.04,0.37
Net Income,1.76,2.64,0.31,1.21
Net Income Growth,-33.33%,758.26%,-74.52%,-
Shares Outstanding (Basic),5,4,5,-
Shares Outstanding (Diluted),5,4,-,-
Shares Change,11.67%,-6.99%,-,-
EPS (Basic),0.36,0.27,-,-
EPS (Diluted),0.36,0.27,-,-
EPS Growth,33.33%,-,-,-
Free Cash Flow Per Share,0.85,0.87,-0.23,-
Dividend Per Share,0.050,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%
Operating Margin,15.32%,22.67%,2.90%,14.69%
Profit Margin,11.07%,17.28%,2.57%,11.27%
Free Cash Flow Margin,26.18%,24.88%,-9.15%,-6.34%
Effective Tax Rate,27.73%,23.76%,11.44%,23.29%
EBITDA,3.09,3.93,0.75,1.93
EBITDA Margin,19.43%,25.72%,6.29%,17.99%
Depreciation & Amortization,0.65,0.47,0.41,0.35
EBIT,2.44,3.46,0.35,1.57
EBIT Margin,15.32%,22.67%,2.90%,14.69%
