Year,2022,2021,2020,2019,2018,2017,2016,2015
Revenue,854.8,890.27,775.35,612.37,413.41,409.63,297.88,240.76
Revenue Growth (YoY),-3.98%,14.82%,26.61%,48.13%,0.92%,37.51%,23.72%,-
Cost of Revenue,399.3,411.22,372.85,326.43,240.56,247.55,200.11,145.3
Gross Profit,455.5,479.05,402.51,285.94,172.85,162.08,97.77,95.46
"Selling, General & Admin",52.37,53.72,51.22,46.57,30.01,34,26.63,22.96
Other Operating Expenses,4.02,51.48,36.58,74.75,28.33,37.92,46.66,39.28
Operating Expenses,56.39,105.2,87.79,121.32,58.33,71.91,73.29,62.24
Operating Income,399.11,373.85,314.71,164.62,114.52,90.17,24.49,33.22
Interest Expense / Income,43.96,24.65,37.01,40.9,20.69,48.47,34.64,26.05
Other Expense / Income,5.11,-1.45,-0.83,3.03,8.91,3.24,-1.09,-0.05
Pretax Income,350.03,350.64,278.54,120.69,84.91,38.46,-9.07,7.22
Income Tax,74.52,72.25,66.02,28.2,21.21,12.63,-3,3.42
Net Income,275.51,278.39,212.52,92.49,63.7,25.83,-6.07,3.8
Net Income Growth,-1.03%,30.99%,129.78%,45.19%,146.67%,-,-,-
Shares Outstanding (Basic),68,68,68,68,66,55,50,46
Shares Outstanding (Diluted),72,74,74,73,71,60,50,48
Shares Change,-2.54%,0.59%,0.34%,4.19%,18.35%,19.11%,4.01%,-
EPS (Basic),4.02,4.10,3.14,1.37,0.96,0.47,-0.12,0.08
EPS (Diluted),3.81,3.75,2.88,1.26,0.90,0.43,-0.12,0.08
EPS Growth,1.60%,30.21%,128.57%,40.00%,109.30%,-,-,-
Free Cash Flow Per Share,4.82,5.35,3.58,3.29,1.99,1.71,0.77,0.83
Dividend Per Share,1.000,0.530,0.230,0.100,-,-,-,-
Dividend Growth,88.68%,130.43%,130.00%,-,-,-,-,-
Gross Margin,53.29%,53.81%,51.91%,46.69%,41.81%,39.57%,32.82%,39.65%
Operating Margin,46.69%,41.99%,40.59%,26.88%,27.70%,22.01%,8.22%,13.80%
Profit Margin,32.23%,31.27%,27.41%,15.10%,15.41%,6.30%,-2.04%,1.58%
Free Cash Flow Margin,38.60%,40.83%,31.28%,36.28%,31.88%,22.96%,12.89%,16.10%
Effective Tax Rate,21.29%,20.61%,23.70%,23.36%,24.98%,32.85%,-,47.38%
EBITDA,437.41,394.13,331.93,185.46,128.88,116.84,55.98,60.56
EBITDA Margin,51.17%,44.27%,42.81%,30.29%,31.18%,28.52%,18.79%,25.15%
Depreciation & Amortization,43.41,18.84,16.38,23.87,23.28,29.91,30.41,27.29
EBIT,394,375.29,315.55,161.59,105.61,86.93,25.57,33.27
EBIT Margin,46.09%,42.16%,40.70%,26.39%,25.54%,21.22%,8.58%,13.82%
