Year,2022,2021,2020,2019,2018,2017,2016,2015
Revenue,116.72,93.99,77.11,53.48,33.3,22.29,13.89,3.3
Revenue Growth (YoY),24.19%,21.88%,44.20%,60.62%,49.36%,60.51%,320.50%,-
Cost of Revenue,52.35,39.24,22.25,18.06,12.39,9.64,4.93,1.25
Gross Profit,64.37,54.75,54.86,35.42,20.91,12.65,8.95,2.05
"Selling, General & Admin",3.18,3.1,2.98,2.5,2.14,1.93,1.78,0.73
Other Operating Expenses,1.3,1.77,1.46,1.09,0.91,0.79,0.76,0.41
Operating Expenses,4.49,4.87,4.44,3.6,3.06,2.72,2.54,1.15
Operating Income,59.88,49.88,50.42,31.82,17.85,9.93,6.41,0.9
Other Expense / Income,44.19,-36.01,-4.79,2.4,9.61,0.85,-5.36,3.06
Pretax Income,15.7,85.88,55.21,29.42,8.24,9.08,11.77,-2.15
Income Tax,0.16,2.25,0.54,0.14,0.12,0.03,0,0
Net Income,15.54,83.63,54.67,29.28,8.12,9.06,11.77,-2.16
Net Income Growth,-81.41%,52.97%,86.73%,260.80%,-10.38%,-23.06%,-,-
Shares Outstanding (Basic),31,28,28,17,11,8,5,2
Shares Outstanding (Diluted),31,28,28,17,11,8,5,2
Shares Change,8.46%,2.88%,59.60%,61.80%,41.75%,45.67%,217.31%,-
EPS (Basic),0.50,2.94,1.98,1.69,0.76,1.20,2.27,-1.32
EPS (Diluted),0.50,2.94,1.98,1.69,0.76,1.20,2.27,-1.32
EPS Growth,-82.99%,48.48%,17.16%,122.37%,-36.67%,-47.14%,-,-
Free Cash Flow Per Share,0.91,-5.54,-2.23,-11.70,-15.35,-11.69,-15.11,-79.64
Dividend Per Share,1.790,1.690,1.640,-,-,-,-,-
Dividend Growth,5.92%,3.05%,-,-,-,-,-,-
Gross Margin,55.15%,58.25%,71.14%,66.23%,62.79%,56.74%,64.48%,62.07%
Operating Margin,51.31%,53.07%,65.39%,59.51%,53.61%,44.56%,46.15%,27.34%
Profit Margin,13.32%,88.98%,70.90%,54.75%,24.37%,40.62%,84.74%,-65.25%
Free Cash Flow Margin,23.95%,-167.74%,-80.14%,-379.58%,-494.23%,-396.49%,-564.70%,-3945.31%
Effective Tax Rate,0.99%,2.62%,0.98%,0.47%,1.47%,0.28%,0.01%,-
EBITDA,15.7,85.88,55.21,29.42,8.24,9.08,11.77,-2.15
EBITDA Margin,13.45%,91.38%,71.60%,55.01%,24.74%,40.74%,84.75%,-65.23%
EBIT,15.7,85.88,55.21,29.42,8.24,9.08,11.77,-2.15
EBIT Margin,13.45%,91.38%,71.60%,55.01%,24.74%,40.74%,84.75%,-65.23%
