Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Revenue,15.23,20.92,18.98,22.21,22.78,26.92,31.23,22.84,21.03,20.42,Upgrade
Revenue Growth (YoY),-27.22%,10.22%,-14.51%,-2.52%,-15.37%,-13.81%,36.71%,8.62%,2.97%,-5.23%,Upgrade
Cost of Revenue,0,8.43,3.1,5.71,0,0.71,1.59,-0.31,-0.04,4.49,Upgrade
Gross Profit,15.23,12.5,15.88,16.49,22.78,26.2,29.63,23.15,21.07,15.94,Upgrade
"Selling, General & Admin",18.88,24.46,19.44,23.81,26.61,36.52,30.97,26.34,22.3,23.32,Upgrade
Other Operating Expenses,7.61,7.12,8.92,5.94,9.65,10.07,10.9,11.12,8.69,7.13,Upgrade
Operating Expenses,26.49,31.57,28.35,29.75,36.26,46.59,41.87,37.46,30.99,30.46,Upgrade
Operating Income,-11.26,-19.08,-12.47,-13.26,-13.48,-20.39,-12.23,-14.31,-9.92,-14.52,Upgrade
Interest Expense / Income,0.22,0.31,0.18,0.22,0.26,0.23,0.59,1.26,1.38,1.91,Upgrade
Other Expense / Income,52.37,-96.29,-40.84,-65.29,55.84,-27.03,-26.92,-13.78,-15.08,-56.35,Upgrade
Pretax Income,-63.85,76.91,28.19,51.82,-69.58,6.42,14.09,-1.8,3.78,39.92,Upgrade
Income Tax,-14.94,17.71,9.37,12.63,-11.48,-2.42,3.88,-1.69,0.78,13.16,Upgrade
Net Income,-48.91,59.2,18.82,39.19,-58.1,8.84,10.22,-0.11,3,26.77,Upgrade
Net Income Growth,-,214.64%,-51.99%,-,-,-13.52%,-,-,-88.79%,256.59%,Upgrade
Shares Outstanding (Basic),22,22,22,23,23,24,25,25,25,-,Upgrade
Shares Outstanding (Diluted),22,22,22,23,23,24,25,25,26,-,Upgrade
Shares Change,-0.43%,-1.11%,-0.73%,-2.32%,-3.57%,-4.97%,0.02%,-1.52%,-,-,Upgrade
EPS (Basic),-2.22,2.68,0.84,1.74,-2.52,0.37,0.41,-,0.12,-,Upgrade
EPS (Diluted),-2.22,2.68,0.84,1.74,-2.52,0.37,0.41,-,0.12,-,Upgrade
EPS Growth,-,219.05%,-51.72%,-,-,-9.76%,-,-,-,-,Upgrade
Free Cash Flow Per Share,-3.20,10.77,-12.99,-2.15,3.34,-2.84,0.27,-1.90,-2.31,-,Upgrade
Dividend Per Share,0.200,0.200,0.200,0.200,0.200,0.300,0.100,-,-,-,Upgrade
Dividend Growth,0%,0%,0%,0%,-33.33%,200.00%,-,-,-,-,Upgrade
Gross Margin,100.00%,59.73%,83.66%,74.27%,100.00%,97.35%,94.90%,101.35%,100.18%,78.03%,Upgrade
Operating Margin,-73.96%,-91.17%,-65.69%,-59.72%,-59.18%,-75.74%,-39.17%,-62.66%,-47.19%,-71.10%,Upgrade
Profit Margin,-321.16%,282.94%,99.12%,176.48%,-255.06%,32.83%,32.72%,-0.49%,14.27%,131.06%,Upgrade
Free Cash Flow Margin,-463.30%,1138.38%,-1530.67%,-218.34%,337.94%,-251.24%,21.10%,-207.29%,-278.86%,199.81%,Upgrade
Effective Tax Rate,-,23.02%,33.25%,24.37%,-,-37.71%,27.50%,-,20.53%,32.96%,Upgrade
EBITDA,-63.29,77.6,28.42,52.05,-69.29,6.66,14.7,-0.52,5.17,41.85,Upgrade
EBITDA Margin,-415.64%,370.85%,149.72%,234.41%,-304.20%,24.74%,47.08%,-2.29%,24.56%,204.92%,Upgrade
Depreciation & Amortization,0.34,0.38,0.05,0.02,0.02,0.02,0.02,0.01,0.01,0.02,Upgrade
EBIT,-63.63,77.22,28.37,52.03,-69.32,6.64,14.68,-0.54,5.15,41.83,Upgrade
EBIT Margin,-417.87%,369.04%,149.45%,234.32%,-304.29%,24.69%,47.02%,-2.35%,24.49%,204.83%,Upgrade
