Year,2022,2021,2020
"Selling, General & Admin",1.24,0.32,0
Other Operating Expenses,0.2,0.03,0
Operating Expenses,1.44,0.36,0
Operating Income,-1.44,-0.36,-0
Other Expense / Income,-1.8,-0.01,-
Pretax Income,0.36,-0.35,-0
Income Tax,0.34,-0.01,0
Net Income,0.02,-0.35,-0
Shares Outstanding (Basic),3,3,3
Shares Outstanding (Diluted),3,3,3
Shares Change,12.37%,12.58%,-
EPS (Basic),-,-0.07,-
EPS (Diluted),-,-0.07,-
Free Cash Flow Per Share,-0.22,-0.35,-
Effective Tax Rate,94.23%,-,-
EBITDA,0.36,-0.35,-0
EBIT,0.36,-0.35,-0
