Year,2022,2021,2020,2019,2018,2017,2016
Revenue,46.32,50.5,37.54,35.42,31.49,31.74,28.35
Revenue Growth (YoY),-8.29%,34.53%,6.00%,12.47%,-0.80%,11.96%,-
Gross Profit,46.32,50.5,37.54,35.42,31.49,31.74,28.35
"Selling, General & Admin",28.76,26.69,22.25,21.13,19.65,18.98,18.57
Other Operating Expenses,8.67,8.83,7.82,6.8,6.47,6.17,5.78
Operating Expenses,37.42,35.51,30.07,27.93,26.12,25.14,24.34
Operating Income,8.9,14.99,7.48,7.49,5.37,6.6,4.01
Pretax Income,8.9,14.99,7.48,7.49,5.37,6.6,4.01
Income Tax,1.9,3.43,1.56,1.53,1.01,3.6,1.32
Net Income,7,11.56,5.92,5.96,4.36,3,2.69
Net Income Growth,-39.46%,95.34%,-0.77%,36.86%,45.14%,11.64%,-
Shares Outstanding (Basic),11,11,11,11,11,-,-
Shares Outstanding (Diluted),11,11,11,11,-,-,-
Shares Change,0.46%,2.00%,0.30%,-3.82%,-,-,-
EPS (Basic),0.65,1.07,0.55,0.56,-,-,-
EPS (Diluted),0.64,1.06,0.55,0.56,-,-,-
EPS Growth,-39.62%,92.73%,-1.79%,-,-,-,-
Free Cash Flow Per Share,1.26,0.55,1.21,0.89,0.67,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,19.21%,29.68%,19.91%,21.15%,17.06%,20.79%,14.14%
Profit Margin,15.11%,22.89%,15.76%,16.84%,13.84%,9.46%,9.48%
Free Cash Flow Margin,29.50%,11.64%,34.57%,26.89%,23.70%,16.43%,13.63%
Effective Tax Rate,21.35%,22.90%,20.85%,20.41%,18.88%,54.52%,32.94%
EBITDA,10.55,16.65,8.9,8.83,6.56,7.81,5.33
EBITDA Margin,22.78%,32.96%,23.70%,24.92%,20.83%,24.60%,18.78%
Depreciation & Amortization,1.65,1.66,1.42,1.33,1.19,1.21,1.32
EBIT,8.9,14.99,7.48,7.49,5.37,6.6,4.01
EBIT Margin,19.21%,29.68%,19.91%,21.15%,17.06%,20.79%,14.14%
