Year,2022,2021,2020,2019
Revenue,595.67,664.23,336.64,325.66
Revenue Growth (YoY),-10.32%,97.31%,3.37%,-
Cost of Revenue,232.42,188.68,117.32,98.36
Gross Profit,363.26,475.56,219.32,227.3
"Selling, General & Admin",41.07,24.82,17.25,17.95
Other Operating Expenses,28.61,36.26,31.63,35.62
Operating Expenses,69.68,61.07,48.88,53.58
Operating Income,293.58,414.48,170.45,173.73
Interest Expense / Income,12.34,8.5,5.06,2.78
Other Expense / Income,74.81,145.01,17.46,29.6
Pretax Income,206.42,260.97,147.93,141.35
Income Tax,22.2,8.26,1.01,0.99
Net Income,184.23,252.71,146.92,140.36
Net Income Growth,-27.10%,72.00%,4.67%,-
Shares Outstanding (Basic),24,23,110,-
Shares Outstanding (Diluted),24,23,-,-
Shares Change,6.27%,-79.47%,-,-
EPS (Basic),0.92,0.93,-,-
EPS (Diluted),0.92,0.93,-,-
EPS Growth,-1.08%,-,-,-
Free Cash Flow Per Share,9.41,9.24,1.18,-
Dividend Per Share,1.040,0.240,-,-
Dividend Growth,333.33%,-,-,-
Gross Margin,60.98%,71.59%,65.15%,69.80%
Operating Margin,49.28%,62.40%,50.63%,53.35%
Profit Margin,30.93%,38.04%,43.64%,43.10%
Free Cash Flow Margin,37.79%,31.33%,38.57%,46.60%
Effective Tax Rate,10.75%,3.17%,0.68%,0.70%
EBITDA,221.17,272.03,155.94,146.63
EBITDA Margin,37.13%,40.95%,46.32%,45.02%
Depreciation & Amortization,2.41,2.55,2.95,2.5
EBIT,218.76,269.47,152.99,144.12
EBIT Margin,36.73%,40.57%,45.45%,44.26%
