Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2010
Revenue,123.22,131.6,107.98,102.15,98.67,91.36,80.26,75.14,69.47,60.05,Upgrade
Revenue Growth (YoY),-6.37%,21.87%,5.71%,3.53%,8.01%,13.82%,6.82%,8.16%,15.69%,16.18%,Upgrade
Gross Profit,123.22,131.6,107.98,102.15,98.67,91.36,80.26,75.14,69.47,60.05,Upgrade
"Selling, General & Admin",84.66,101.08,85.7,83.28,77.52,70.99,65.63,58.18,54.15,43.52,Upgrade
Operating Expenses,84.66,101.08,85.7,83.28,77.52,70.99,65.63,58.18,54.15,43.52,Upgrade
Operating Income,38.56,30.52,22.28,18.87,21.15,20.37,14.64,16.96,15.32,16.53,Upgrade
Interest Expense / Income,0.42,0.38,0.56,0.48,0.06,0.11,0.23,0.26,0.38,0.45,Upgrade
Other Expense / Income,11.71,8.52,6.36,4.57,6,1.19,4.71,4.4,3.78,0.25,Upgrade
Pretax Income,26.43,21.62,15.35,13.82,15.09,19.07,9.7,12.29,11.16,15.84,Upgrade
Income Tax,7.61,6.92,5.39,5.18,5.46,13.73,4.69,6.97,6.39,2.15,Upgrade
Net Income,18.83,14.69,9.96,8.65,9.63,5.34,5.02,5.32,4.78,13.69,Upgrade
Net Income Growth,28.14%,47.52%,15.20%,-10.22%,80.44%,6.42%,-5.80%,11.50%,-65.12%,-30.58%,Upgrade
Shares Outstanding (Basic),10,10,10,9,8,8,8,8,8,8,Upgrade
Shares Outstanding (Diluted),10,10,10,9,8,8,8,8,8,8,Upgrade
Shares Change,1.35%,1.89%,8.08%,5.98%,2.28%,0.99%,2.33%,3.35%,-9.23%,-21.67%,Upgrade
EPS (Basic),1.92,1.52,1.05,0.98,1.16,0.66,0.62,0.68,0.63,1.68,Upgrade
EPS (Diluted),1.92,1.52,1.05,0.98,1.16,0.66,0.62,0.68,0.63,1.63,Upgrade
EPS Growth,26.32%,44.76%,7.14%,-15.52%,75.76%,6.45%,-8.82%,7.94%,-61.35%,-11.41%,Upgrade
Free Cash Flow Per Share,2.29,4.48,2.76,1.70,3.27,3.55,2.15,2.02,2.59,3.21,Upgrade
Dividend Per Share,0.700,0.660,0.640,0.600,0.560,0.480,0.480,0.480,0.480,0.120,Upgrade
Dividend Growth,6.06%,3.13%,6.67%,7.14%,16.67%,0%,0%,0%,300.00%,-,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,31.30%,23.19%,20.63%,18.48%,21.44%,22.30%,18.24%,22.57%,22.05%,27.53%,Upgrade
Profit Margin,15.28%,11.16%,9.22%,8.46%,9.76%,5.84%,6.25%,7.09%,6.87%,22.80%,Upgrade
Free Cash Flow Margin,18.20%,32.96%,24.28%,14.65%,27.47%,31.50%,21.50%,21.10%,28.34%,43.48%,Upgrade
Effective Tax Rate,28.77%,32.03%,35.13%,37.46%,36.17%,72.02%,48.30%,56.69%,57.22%,13.56%,Upgrade
EBITDA,33.21,29.86,23.3,17.5,17.58,21.98,12.59,14.91,13.51,18.23,Upgrade
EBITDA Margin,26.95%,22.69%,21.58%,17.13%,17.82%,24.06%,15.69%,19.85%,19.45%,30.36%,Upgrade
Depreciation & Amortization,6.36,7.86,7.39,3.19,2.43,2.8,2.66,2.36,1.97,1.94,Upgrade
EBIT,26.85,22,15.92,14.31,15.15,19.18,9.93,12.55,11.54,16.29,Upgrade
EBIT Margin,21.79%,16.72%,14.74%,14.00%,15.35%,21.00%,12.37%,16.71%,16.61%,27.12%,Upgrade
