Year,2022,2021,2020,2019,2018,2017
Revenue,217.24,221.15,198.32,158.41,140.83,131.89
Revenue Growth (YoY),-1.77%,11.51%,25.19%,12.48%,6.78%,-
Gross Profit,217.24,221.15,198.32,158.41,140.83,131.89
"Selling, General & Admin",105.92,111.15,106.97,91.98,88.4,83.11
Other Operating Expenses,38.17,36.89,34.75,29.73,27.04,25.04
Operating Expenses,144.09,148.03,141.72,121.71,115.44,108.14
Operating Income,73.15,73.12,56.6,36.7,25.39,23.74
Pretax Income,73.15,73.12,56.6,36.7,25.39,23.74
Income Tax,14.91,14.51,11.25,7.48,-3.9,0.11
Net Income,58.24,58.61,45.35,29.22,29.29,23.64
Net Income Growth,-0.64%,29.24%,55.21%,-0.24%,23.93%,-
Shares Outstanding (Basic),17,18,18,18,17,-
Shares Change,-4.44%,-1.49%,0.29%,3.07%,-,-
EPS (Basic),3.35,3.26,2.51,1.74,1.98,1.60
EPS (Diluted),3.23,3.17,2.47,1.71,1.98,1.60
EPS Growth,1.89%,28.34%,44.44%,-13.64%,23.75%,-
Free Cash Flow Per Share,7.04,5.33,0.14,1.48,1.37,-
Dividend Per Share,0.460,0.300,0.140,0.060,-,-
Dividend Growth,53.33%,114.29%,133.33%,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,33.67%,33.06%,28.54%,23.17%,18.03%,18.00%
Profit Margin,26.81%,26.50%,22.87%,18.45%,20.80%,17.92%
Free Cash Flow Margin,55.05%,42.87%,1.28%,16.85%,16.98%,20.07%
Effective Tax Rate,20.38%,19.84%,19.88%,20.38%,-15.36%,0.45%
EBITDA,80.12,79.56,63.18,41.93,30.57,29.03
EBITDA Margin,36.88%,35.97%,31.86%,26.47%,21.71%,22.01%
Depreciation & Amortization,6.97,6.44,6.58,5.23,5.19,5.28
EBIT,73.15,73.12,56.6,36.7,25.39,23.74
EBIT Margin,33.67%,33.06%,28.54%,23.17%,18.03%,18.00%
