Year,2022,2021,2020,2019,2018,2017,2016,2015,2013,2012,2011 - 1999
Revenue,86.24,108.49,92.2,59.3,49.52,38.91,30.97,26.07,143.59,131.13,Upgrade
Revenue Growth (YoY),-20.51%,17.67%,55.50%,19.75%,27.24%,25.67%,18.78%,-81.84%,9.50%,4.62%,Upgrade
Gross Profit,86.24,108.49,92.2,59.3,49.52,38.91,30.97,26.07,143.59,131.13,Upgrade
"Selling, General & Admin",34.99,30.93,23.6,24.54,31.08,29.58,25.44,21.12,120.85,112.23,Upgrade
Other Operating Expenses,30.99,29.81,18.69,19.66,8.85,6.27,6.34,4.66,4.61,3.85,Upgrade
Operating Expenses,65.98,60.74,42.29,44.2,39.93,35.85,31.79,25.78,125.46,116.08,Upgrade
Operating Income,20.27,47.75,49.92,15.1,9.59,3.06,-0.82,0.29,18.14,15.06,Upgrade
Interest Expense / Income,26.33,20.52,17.88,20.42,16.07,11.4,8.44,6.48,5.86,4.5,Upgrade
Other Expense / Income,-38.37,-56.9,-1.58,-46.46,-42.16,-47.31,-36.57,-41.92,8.36,1.04,Upgrade
Pretax Income,32.31,84.14,33.62,41.14,35.68,38.98,27.31,35.74,3.92,9.53,Upgrade
Income Tax,0,0,0,0,0,0,0,0,3.92,3.88,Upgrade
Net Income,32.31,84.14,33.62,41.14,35.68,38.98,27.31,35.74,0,5.64,Upgrade
Net Income Growth,-61.60%,150.28%,-18.27%,15.30%,-8.46%,42.74%,-23.59%,-,-,69.21%,Upgrade
Shares Outstanding (Basic),24,23,21,19,19,17,15,11,7,7,Upgrade
Shares Outstanding (Diluted),-,23,21,19,19,17,15,11,8,7,Upgrade
Shares Change,7.15%,7.80%,9.42%,3.27%,8.00%,19.16%,35.01%,42.07%,3.16%,1.86%,Upgrade
EPS (Basic),1.34,3.69,1.59,2.13,1.91,2.25,1.88,3.32,1.07,0.79,Upgrade
EPS (Diluted),1.34,3.69,1.59,2.13,1.91,2.25,1.88,3.32,0.99,0.77,Upgrade
EPS Growth,-63.69%,132.08%,-25.35%,11.52%,-15.11%,19.68%,-43.37%,235.35%,28.57%,71.11%,Upgrade
Free Cash Flow Per Share,-2.56,6.18,0.84,-4.61,-3.97,-4.24,-0.99,-3.53,0.42,-1.04,Upgrade
Dividend Per Share,2.850,3.150,2.050,2.150,1.800,1.640,1.930,4.050,-,-,Upgrade
Dividend Growth,-9.52%,53.66%,-4.65%,19.44%,9.76%,-15.03%,-52.35%,-,-,-,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,23.50%,44.02%,54.14%,25.46%,19.36%,7.87%,-2.65%,1.13%,12.63%,11.48%,Upgrade
Profit Margin,37.46%,77.55%,36.46%,69.37%,72.05%,100.16%,88.18%,137.08%,-,4.30%,Upgrade
Free Cash Flow Margin,-72.39%,129.89%,19.25%,-150.24%,-150.04%,-188.57%,-46.74%,-145.98%,2.05%,-5.65%,Upgrade
Effective Tax Rate,-,-,-,-,-,-,-,-,100.00%,40.76%,Upgrade
EBITDA,58.88,104.96,51.9,62.06,52.23,50.78,36.04,42.54,9.78,17.06,Upgrade
EBITDA Margin,68.27%,96.74%,56.29%,104.66%,105.48%,130.48%,116.39%,163.18%,6.81%,13.01%,Upgrade
Depreciation & Amortization,0.24,0.3,0.4,0.5,0.48,0.4,0.3,0.33,0,3.04,Upgrade
EBIT,58.64,104.66,51.5,61.56,51.74,50.37,35.75,42.22,9.78,14.02,Upgrade
EBIT Margin,67.99%,96.46%,55.85%,103.81%,104.50%,129.45%,115.44%,161.93%,6.81%,10.69%,Upgrade
